rule,threshold,false_alarm,recall
rank,0.5,0.625,1.0
rank,0.7,0.375,0.8333333333333334
rank,0.8,0.25,0.6666666666666666
absolute_z,1.0,0.375,1.0
absolute_z,2.0,0.375,1.0
absolute_z,3.0,0.375,1.0
