dataset,seed,new,old
cicids2017,12345,0.706766917293233,0.706766917293233
cicids2017,12345,0.6714801444043321,0.6714801444043321
cicids2017,12345,0.7123015873015873,0.7123015873015873
cicids2017,12345,0.7148014440433214,0.7166064981949458
cicids2017,12345,0.6599264705882353,0.6599264705882353
cicids2017,12345,0.7027027027027027,0.7027027027027027
cicids2017,12345,0.686456400742115,0.686456400742115
cicids2017,12345,0.7011070110701108,0.7011070110701108
cicids2017,12345,0.707089552238806,0.707089552238806
cicids2017,12345,0.6798561151079137,0.6798561151079137
cicids2017,1337,0.8272058823529411,0.8272058823529411
cicids2017,1337,0.843351548269581,0.843351548269581
cicids2017,1337,0.8432122370936902,0.8432122370936902
cicids2017,1337,0.8568904593639576,0.8586572438162544
cicids2017,1337,0.8307155322862129,0.8307155322862129
cicids2017,1337,0.8464285714285714,0.8464285714285714
cicids2017,1337,0.8260105448154658,0.8260105448154658
cicids2017,1337,0.8264925373134329,0.8264925373134329
cicids2017,1337,0.8067978533094812,0.8067978533094812
cicids2017,1337,0.8490230905861457,0.8490230905861457
cicids2017,2024,0.718336483931947,0.718336483931947
cicids2017,2024,0.6715328467153284,0.6715328467153284
cicids2017,2024,0.6631205673758865,0.6631205673758865
cicids2017,2024,0.6813996316758748,0.6813996316758748
cicids2017,2024,0.6666666666666666,0.6666666666666666
cicids2017,2024,0.674502712477396,0.674502712477396
cicids2017,2024,0.6842105263157895,0.6842105263157895
cicids2017,2024,0.7034358047016275,0.7034358047016275
cicids2017,2024,0.6615384615384615,0.6615384615384615
cicids2017,2024,0.714795008912656,0.714795008912656
cicids2017,3407,0.7348066298342542,0.7348066298342542
cicids2017,3407,0.7097378277153558,0.7097378277153558
cicids2017,3407,0.7546125461254612,0.7546125461254612
cicids2017,3407,0.7054545454545454,0.7072727272727273
cicids2017,3407,0.7074954296160878,0.7074954296160878
cicids2017,3407,0.7210626185958254,0.7210626185958254
cicids2017,3407,0.6725043782837128,0.6725043782837128
cicids2017,3407,0.6943972835314092,0.6943972835314092
cicids2017,3407,0.72552783109405,0.72552783109405
cicids2017,3407,0.7249544626593807,0.7249544626593807
cicids2017,42,0.726775956284153,0.726775956284153
cicids2017,42,0.740418118466899,0.740418118466899
cicids2017,42,0.6824561403508772,0.6824561403508772
cicids2017,42,0.7137404580152672,0.7137404580152672
cicids2017,42,0.7054409005628518,0.7054409005628518
cicids2017,42,0.7145522388059702,0.7145522388059702
cicids2017,42,0.7388059701492538,0.7388059701492538
cicids2017,42,0.7271157167530224,0.7271157167530224
cicids2017,42,0.7086466165413534,0.7086466165413534
cicids2017,42,0.6883561643835616,0.6934931506849316
cicids2017,512,0.7296296296296296,0.7296296296296296
cicids2017,512,0.7281368821292775,0.7281368821292775
cicids2017,512,0.7513321492007105,0.7513321492007105
cicids2017,512,0.7721280602636534,0.7721280602636534
cicids2017,512,0.7401869158878505,0.7401869158878505
cicids2017,512,0.7367424242424242,0.7367424242424242
cicids2017,512,0.7476808905380334,0.7476808905380334
cicids2017,512,0.75,0.75
cicids2017,512,0.7408829174664108,0.7408829174664108
cicids2017,512,0.725417439703154,0.725417439703154
cicids2017,6021,0.8566037735849057,0.8566037735849057
cicids2017,6021,0.8413284132841329,0.8413284132841329
cicids2017,6021,0.8389982110912343,0.8389982110912343
cicids2017,6021,0.8411053540587219,0.8411053540587219
cicids2017,6021,0.8413284132841329,0.8413284132841329
cicids2017,6021,0.8324607329842932,0.8324607329842932
cicids2017,6021,0.8131868131868132,0.8131868131868132
cicids2017,6021,0.8102836879432624,0.8102836879432624
cicids2017,6021,0.8110687022900763,0.8110687022900763
cicids2017,6021,0.822141560798548,0.822141560798548
cicids2017,7,0.8633879781420765,0.8633879781420765
cicids2017,7,0.8645640074211502,0.8645640074211502
cicids2017,7,0.8682745825602969,0.8682745825602969
cicids2017,7,0.8374760994263862,0.8374760994263862
cicids2017,7,0.8407224958949097,0.8407224958949097
cicids2017,7,0.8629893238434164,0.8629893238434164
cicids2017,7,0.8533834586466166,0.8533834586466166
cicids2017,7,0.8617594254937163,0.8617594254937163
cicids2017,7,0.858195211786372,0.858195211786372
cicids2017,7,0.8535645472061657,0.8535645472061657
cicids2017,88,0.6895306859205776,0.6895306859205776
cicids2017,88,0.6761565836298933,0.6761565836298933
cicids2017,88,0.6857142857142857,0.6857142857142857
cicids2017,88,0.6561264822134387,0.6561264822134387
cicids2017,88,0.6960600375234521,0.6960600375234521
cicids2017,88,0.6782273603082851,0.6782273603082851
cicids2017,88,0.6856581532416502,0.6856581532416502
cicids2017,88,0.7074954296160878,0.7074954296160878
cicids2017,88,0.7164179104477612,0.7164179104477612
cicids2017,88,0.701627486437613,0.701627486437613
cicids2017,91,0.8761384335154827,0.8761384335154827
cicids2017,91,0.879182156133829,0.879182156133829
cicids2017,91,0.8480769230769231,0.8480769230769231
cicids2017,91,0.8609523809523809,0.8609523809523809
cicids2017,91,0.8685831622176592,0.8685831622176592
cicids2017,91,0.8696498054474708,0.8696498054474708
cicids2017,91,0.8485915492957746,0.8485915492957746
cicids2017,91,0.8507194244604317,0.8507194244604317
cicids2017,91,0.8729582577132486,0.8729582577132486
cicids2017,91,0.8287292817679558,0.8287292817679558
cicids2017,12345,0.8465909090909091,0.8465909090909091
cicids2017,12345,0.8260869565217391,0.8260869565217391
cicids2017,12345,0.8241758241758241,0.8241758241758241
cicids2017,12345,0.825,0.825
cicids2017,12345,0.8318425760286225,0.8318425760286225
cicids2017,12345,0.8050089445438283,0.8067978533094812
