dataset,arch,class,n_pred_target,low_support,monitor_drift,pred_mass_drop,b_confidence_shift,b_entropy_shift,b_share_drift,b_raw_score_ks,coverage,undercoverage,failing
nslkdd,mlp,Normal,1665,False,0.16634373693313564,-0.17908935565334427,0.013657549586130191,0.03908079677027529,0.17908935565334427,0.279715636336786,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,389,False,0.46993974108025854,0.19783779151832503,0.10311411261634673,0.22901886729844512,0.19783779151832503,0.19783779151832503,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,269,False,0.34754953787387877,-0.023096680130659172,0.041600079193814476,0.11684028278717196,0.023096680130659172,0.17207876115465826,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,7,True,,0.004512610419247447,,,0.004512610419247447,0.12751128391014066,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1717,False,0.17493893667568544,-0.2017135126122651,0.01247131909430943,0.03587241565150294,0.2017135126122651,0.2847942281106567,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,341,False,0.4382621558741884,0.2183670270690198,0.10536969182765132,0.226029147443833,0.2183670270690198,0.2183670270690198,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,263,False,0.30761851606376667,-0.020571101210230466,0.024510512433920884,0.07770096848433689,0.020571101210230466,0.1816590956276966,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,9,True,,0.0036529524780444414,,,0.0036529524780444414,0.12908955360172927,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1653,False,0.16274776346420394,-0.17363726057860762,0.01451900077292445,0.04286113667776034,0.17363726057860762,0.2870770776604914,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,393,False,0.45484263687230053,0.1961940870444319,0.1083268439558086,0.2334375592224953,0.1961940870444319,0.1961940870444319,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,274,False,0.44886744123752764,-0.02519127656487824,0.046338230243249234,0.1341828585262146,0.02519127656487824,0.18051693468717145,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,10,True,,0.0032274487567272936,,,0.0032274487567272936,0.13534953784778528,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1705,False,0.16363763966739672,-0.1962493728133614,0.011959031693004607,0.03410223770442124,0.1962493728133614,0.2814316380527876,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,339,False,0.4173277187250781,0.21928781296834648,0.09386116805532485,0.20717937475038845,0.21928781296834648,0.21928781296834648,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,277,False,0.381882803961183,-0.02652868356266261,0.043312061964099424,0.12148607910149756,0.02652868356266261,0.17937176844766556,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,10,True,,0.00322560913224616,,,0.00322560913224616,0.1465924028642352,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1724,False,0.17619024237128844,-0.2040832297038221,0.013108183716306065,0.03875335884983247,0.2040832297038221,0.2926516917256715,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,364,False,0.42346243946156875,0.20862976457444904,0.09019235517760038,0.20112572956087899,0.20862976457444904,0.20862976457444904,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,237,False,0.42064413734370765,-0.009325067302442563,0.04078250701969999,0.12076399722768671,0.009325067302442563,0.18223220055338069,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,7,True,,0.004513898156384241,,,0.004513898156384241,0.1439258671788316,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1801,False,0.236007062870223,-0.23706292601179868,0.010889476178456037,0.028851622711475292,0.23706292601179868,0.2971823159184227,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,296,False,0.28985025513105617,0.23773483141536494,0.06267359391277205,0.13004055111648113,0.23773483141536494,0.23773483141536494,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,229,False,0.413720891060982,-0.006307150956245899,0.0532790608169047,0.1407698721177932,0.006307150956245899,0.2388919337156873,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,1,True,,0.00703368613816375,,,0.00703368613816375,0.21573122367025194,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1838,False,0.24436001570430485,-0.2532743550987643,0.010482269125070665,0.02862085783081263,0.2532743550987643,0.3031297716512861,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,256,False,0.23634711489624147,0.2548477137642988,0.04382388804769399,0.10189915068858015,0.2548477137642988,0.2548477137642988,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,233,False,0.399356593801656,-0.008066052715147667,0.05193239459968568,0.13603099675772765,0.008066052715147667,0.24496447540400454,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,1,True,,0.007033502017807956,,,0.007033502017807956,0.23778018863767186,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1809,False,0.23120996132753235,-0.240162141375165,0.012100733513307538,0.03174201519272171,0.240162141375165,0.31525368304639356,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,295,False,0.27722231650716117,0.2382181007665588,0.04872214496947169,0.10779995213542787,0.2382181007665588,0.2382181007665588,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,223,False,0.5994692152595449,-0.003692124756314044,0.07332527379136577,0.2018956820764905,0.003692124756314044,0.22573067656861853,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,3,True,,0.006176237167507232,,,0.006176237167507232,0.22447010050292313,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1825,False,0.23339260065494585,-0.24735893630780903,0.012362244382884802,0.031197699278379263,0.24735893630780903,0.30147232020842696,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,266,False,0.26927516876649615,0.2506048442853778,0.04443669976967435,0.09699979410840832,0.2506048442853778,0.2506048442853778,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,233,False,0.410453126968949,-0.008023152672247624,0.052664049032907556,0.1463903625264807,0.008023152672247624,0.23159892642267998,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,6,True,,0.004888683993161605,,,0.004888683993161605,0.22554530668217554,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1838,False,0.24045270422344073,-0.2525978189051822,0.010406161695598493,0.027935148336624204,0.2525978189051822,0.31611131597949815,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,288,False,0.26380423741111597,0.24121981603242504,0.048215284685803494,0.11137790134909364,0.24121981603242504,0.24121981603242504,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,203,False,0.5579434561031845,0.004884204574732265,0.07751268743283735,0.1969060884955726,0.004884204574732265,0.22873239183448477,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,2,True,,0.0066050536340595475,,,0.0066050536340595475,0.22709592615732327,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1742,False,0.2557178345986747,-0.2111167784397382,0.03046925934538458,0.05814517094933694,0.2111167784397382,0.32273937958282195,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,365,False,0.5793531125015678,0.2076045332634726,0.061526246164715026,0.150625373465554,0.2076045332634726,0.2076045332634726,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,220,False,0.4377204884667571,-0.002181512819810702,0.08224253556341654,0.1768613216364633,0.002181512819810702,0.22391050034746446,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,0,True,,0.0070921985815602835,,,0.0070921985815602835,0.07876115465826485,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1811,False,0.26898349457556037,-0.24105125000511096,0.03023557550741718,0.06132649988523882,0.24105125000511096,0.32046624697714965,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,307,False,0.5045148634274523,0.2324300331962687,0.049039635038436113,0.1276752222863701,0.2324300331962687,0.23248296005135494,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,210,False,0.39140014214641083,0.002069826195476812,0.0669215555951227,0.14892280137742486,0.002069826195476812,0.22998772006100446,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,1,True,,0.006663014032204061,,,0.006663014032204061,0.09208991114194348,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1765,False,0.2477903766606464,-0.2206590945858279,0.03451870817827385,0.06555715105862181,0.2206590945858279,0.3328600328890927,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,360,False,0.5521080592291172,0.2098157618897956,0.055348969576339724,0.14301181213701666,0.2098157618897956,0.2098157618897956,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,204,False,0.6075898786609937,0.0047200223836113,0.08870390040438902,0.20696279810559853,0.0047200223836113,0.2223823494112954,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,0,True,,0.0070921985815602835,,,0.0070921985815602835,0.07991778089952414,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1772,False,0.25106410759457426,-0.22398679130975097,0.028399753994092447,0.058513588434100164,0.22398679130975097,0.32103454904344075,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,337,False,0.5463381944088073,0.21961654527548463,0.052390897164883765,0.14152986148998348,0.21961654527548463,0.21961654527548463,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,218,False,0.44829311452616943,-0.0013235119618098395,0.08014348062346488,0.1704459818399578,0.0013235119618098395,0.22131919607308623,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,3,True,,0.005805197294558997,,,0.005805197294558997,0.08948616538327557,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1799,False,0.2611667094360157,-0.2352388544486066,0.027762715196244625,0.05680135503803417,0.2352388544486066,0.33328884935564507,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,342,False,0.5316402229718074,0.21753445828773726,0.046177531821025464,0.12502269616655667,0.21753445828773726,0.2175873851428235,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,187,False,0.5853926582635978,0.012009902315000667,0.10655565748592999,0.2313202547780418,0.012009902315000667,0.21776041873766816,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,3,True,,0.005805749181903337,,,0.005805749181903337,0.09840981581635998,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1736,False,0.1459277841080061,-0.20896619070642564,0.01449849624583599,0.03769074280409712,0.20896619070642564,0.31226115649742203,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,368,False,0.546456294269665,0.20631753197647135,0.07166845155668178,0.18304995416393566,0.20631753197647135,0.20631753197647135,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,222,False,0.30283155067761613,-0.003092440532897811,0.04218795854447177,0.10736058760374768,0.003092440532897811,0.1511915217853611,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,1,True,,0.007086612993250021,,,0.007086612993250021,0.18330293274720078,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1791,False,0.1650686505728286,-0.23289097385867663,0.013128384390049264,0.03680228904467181,0.23289097385867663,0.32047524227097546,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,320,False,0.5143910768783607,0.2268506340546378,0.06895785921487008,0.17354217090973337,0.2268506340546378,0.22690356090972402,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,216,False,0.30911885463867084,-0.0005582079557467784,0.0499649583103986,0.1178837677708101,0.0005582079557467784,0.16462641590695054,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,2,True,,0.006657244323538003,,,0.006657244323538003,0.17998342685258756,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1758,False,0.16604254585548833,-0.21808079416065174,0.01845380943114816,0.04596897106013463,0.21808079416065174,0.3290427629016699,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,361,False,0.5157068663520449,0.20938694542324326,0.06989873613438824,0.17375381626303094,0.20938694542324326,0.2094398722783295,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,211,False,0.5019477284667798,0.0016653802626588332,0.08672780807540925,0.21145543779567655,0.0016653802626588332,0.15234790973420187,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,0,True,,0.00751561342225045,,,0.00751561342225045,0.19734000338804497,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1768,False,0.1649880675832062,-0.22269420443443944,0.014974173889586773,0.03955014793781732,0.22269420443443944,0.3175261865322202,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,321,False,0.5002945036696379,0.2264805521394915,0.07050539676974943,0.16837128628771103,0.2264805521394915,0.22653347899457774,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,237,False,0.3720350833824103,-0.009527446967904252,0.06801258114721398,0.15806064527045696,0.009527446967904252,0.16491953551337485,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,4,True,,0.005799611706248734,,,0.005799611706248734,0.1807289301731982,0.02981848141104289,0.920181518588957,1
