dataset,arch,class,n_pred_target,low_support,monitor_drift,pred_mass_drop,b_confidence_shift,b_entropy_shift,b_share_drift,b_raw_score_ks,coverage,undercoverage,failing
nslkdd,mlp,Normal,1813,False,0.1871666859459863,-0.24166569982102915,0.01634833132542557,0.04369004464824526,0.24166569982102915,0.3304458692632237,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,332,False,0.4924031250711318,0.2218226229532604,0.0636133359004385,0.1587028685801402,0.2218226229532604,0.22187554980834664,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,183,False,0.44821297978989527,0.013672241326123671,0.0764181674906863,0.1822886656022464,0.013672241326123671,0.16135305553180052,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,2,True,,0.0066579804891458184,,,0.0066579804891458184,0.18576195879113244,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1864,False,0.2293207516621047,-0.26371946505322186,0.01883138952248742,0.04803759087355018,0.26371946505322186,0.30412131952303434,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,269,False,0.43391016756689077,0.2491590624331177,0.048841434921495175,0.12382381488925434,0.2491590624331177,0.2491590624331177,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,193,False,0.33524298167035205,0.009348571908114625,0.058051079383657056,0.1382466695079472,0.009348571908114625,0.14599835511235956,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,2,True,,0.006234197723559425,,,0.006234197723559425,0.2854328946739236,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1881,False,0.22749055678357005,-0.27135880273547797,0.0166401684137375,0.04394755591728955,0.27135880273547797,0.30491874478397885,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,248,False,0.3897193810647784,0.25812240959388977,0.05289824944385757,0.12742986861389702,0.25812240959388977,0.25812240959388977,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,198,False,0.2736961806462094,0.0071671139326652394,0.04728213957246341,0.11729155698738263,0.0071671139326652394,0.16118171811020687,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,2,True,,0.006233829482847837,,,0.006233829482847837,0.2864415480809812,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1869,False,0.21483634720446404,-0.26552064138270004,0.018395714370925687,0.047438298020022265,0.26552064138270004,0.3141670484118222,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,281,False,0.4325920369015586,0.2440627507330324,0.0577364915375157,0.1431468682396333,0.2440627507330324,0.2440627507330324,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,178,False,0.4571891396524017,0.015816323658885245,0.07705363605263837,0.18330281804950319,0.015816323658885245,0.14314535493765795,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,1,True,,0.006663382115007968,,,0.006663382115007968,0.29488610376822866,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1870,False,0.20863325309654507,-0.2662934676272244,0.016735630930043266,0.04317778795635853,0.2662934676272244,0.30412131952303434,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,257,False,0.40261018994292225,0.25430706758112287,0.05089623375268415,0.1298302133692703,0.25430706758112287,0.25430706758112287,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,199,False,0.33222112861839354,0.006774569334112052,0.05537445054887302,0.13605141185524294,0.006774569334112052,0.16960454988400367,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,5,True,,0.004947196436558139,,,0.004947196436558139,0.2758121956280102,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1899,False,0.21852587882413038,-0.27838513537926945,0.01632698294749435,0.04439080045053999,0.27838513537926945,0.3195137501790708,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,275,False,0.43194541231126593,0.24663564953234632,0.056205723968601684,0.13436886699889022,0.24663564953234632,0.24663564953234632,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,155,False,0.44689555502028866,0.025679102389588496,0.07603907312228964,0.1837537236057274,0.025679102389588496,0.14740424188317203,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,2,True,,0.006234565648455652,,,0.006234565648455652,0.2821274634818318,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1665,False,0.2037872096695626,-0.17983033162455198,0.00943708232597451,0.023929288318678705,0.17983033162455198,0.3222287069540165,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,424,False,0.596190130624093,0.18276984964822374,0.058601804025719906,0.1592473111598586,0.18276984964822374,0.18287570335839626,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,236,False,0.4378055154923579,-0.008569177988041118,0.06595137368733939,0.14998682352287482,0.008569177988041118,0.22788927838149814,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,4,True,,0.0062230265469389,,,0.0062230265469389,0.20845095424326926,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1728,False,0.21276180926916222,-0.20717551862639128,0.007990844759873994,0.02127653069260657,0.20717551862639128,0.32217844209688473,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,373,False,0.564328377374055,0.2045801946345344,0.05566648159195409,0.153151012438837,0.2045801946345344,0.2046860483447069,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,221,False,0.36959100294337305,-0.002174862151665194,0.057304062428763736,0.1276767291990921,0.002174862151665194,0.23214463705579488,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,7,True,,0.004934736417447054,,,0.004934736417447054,0.21588923249699815,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1674,False,0.20255048907800333,-0.18338338234741403,0.011561428587996914,0.02851929314139819,0.18338338234741403,0.3347146062323686,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,431,False,0.5766819661973539,0.1798461344603576,0.061244999594755045,0.16473200202759797,0.1798461344603576,0.1798461344603576,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,219,False,0.5929840482542266,-0.0012358829188969939,0.09540278183627682,0.2107443604454257,0.0012358829188969939,0.23249995778561303,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,8,True,,0.004508496530522091,,,0.004508496530522091,0.23146502442715078,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1708,False,0.20749384370406548,-0.19827735007157044,0.00851888406976975,0.021680762834166936,0.19827735007157044,0.32394470867001823,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,381,False,0.5675230182584217,0.2012168680952422,0.054904672337480975,0.1536185995168475,0.2012168680952422,0.20132272180541472,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,230,False,0.45587862836143317,-0.005995175414038545,0.07748363736583175,0.1662924072912093,0.005995175414038545,0.23354155316683103,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,11,True,,0.003220023543935897,,,0.003220023543935897,0.22174996754228254,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1731,False,0.2127327236410731,-0.20782592094089603,0.009183253232951216,0.02295880564116062,0.20782592094089603,0.33600105563202554,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,401,False,0.550014296624187,0.19271062845692707,0.06047723464434618,0.16001487506536902,0.19271062845692707,0.19271062845692707,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,193,False,0.5724071810926695,0.009913345211463212,0.08525095424680229,0.19245976763133793,0.009913345211463212,0.22770844329500267,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,6,True,,0.005366129463626723,,,0.005366129463626723,0.23146502442715078,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1855,False,0.22423636494517185,-0.2607052908735983,0.010860562987414779,0.03745358452376726,0.2607052908735983,0.319582364199703,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,295,False,0.4810765208365616,0.23816383184436538,0.05737198803371224,0.13582953173797083,0.23816383184436538,0.23816383184436538,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,176,False,0.3676883116883117,0.017117920896898342,0.07198059794500278,0.16609377725756347,0.017117920896898342,0.18019148759066192,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,0,True,,0.007303906001905367,,,0.007303906001905367,0.16390568311813153,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1883,False,0.22427844953519777,-0.27306400151557064,0.01252992356023297,0.03962188932904575,0.27306400151557064,0.32215636273931236,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,265,False,0.4367528879616015,0.25098505282009276,0.05633664148878348,0.13310248254182777,0.25098505282009276,0.25098505282009276,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,179,False,0.3321372705506784,0.015797962066209897,0.06452511510065051,0.1507235645319192,0.015797962066209897,0.1934480187865349,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,1,True,,0.006874721452549144,,,0.006874721452549144,0.17213903089792565,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1872,False,0.24003969159755506,-0.26765392046373726,0.015401397687980434,0.04552678118009947,0.26765392046373726,0.32947807039761956,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,298,False,0.4336757700687308,0.23693165136690186,0.056483409962903464,0.12992017838885178,0.23693165136690186,0.23693165136690186,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,158,False,0.5747486437613021,0.024868994685707982,0.12205989621819469,0.258550575042306,0.024868994685707982,0.1750266132205292,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,0,True,,0.007303906001905367,,,0.007303906001905367,0.17491749129975098,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1872,False,0.22828755484541835,-0.2679982981666055,0.012068259799932979,0.040454388938990136,0.2679982981666055,0.31617535968123456,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,279,False,0.4571897581854468,0.24502783870837225,0.05062426068443582,0.12203808633275831,0.24502783870837225,0.24502783870837225,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,174,False,0.34726436781609193,0.017975921754899205,0.0705987748545771,0.15465287583887866,0.017975921754899205,0.18748449488366922,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,4,True,,0.005587904285903651,,,0.005587904285903651,0.16819568740813579,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1894,False,0.2435471691018647,-0.2770878827278882,0.010561467196873786,0.03764278157486859,0.2770878827278882,0.3292598719478771,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,293,False,0.4477948434496596,0.23907573369966345,0.05765244475645692,0.13613167305388663,0.23907573369966345,0.23907573369966345,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,141,False,0.5001458966565349,0.03215887461709735,0.10167330986967926,0.2169820776165433,0.03215887461709735,0.19467332510107396,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,3,True,,0.00601745660224842,,,0.00601745660224842,0.17577512423285563,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1690,False,0.14211304041742828,-0.1902907080741314,0.019261542304633283,0.04028380655720583,0.1902907080741314,0.29705411985500907,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,438,False,0.4885138633902933,0.17660506307695892,0.15334685998455833,0.2628447212995697,0.17660506307695892,0.1766579899320452,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,197,False,0.4542465165010898,0.008055985032803081,0.10583842999553472,0.21146530737068125,0.008055985032803081,0.10772631271202246,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,1,True,,0.007510027833940188,,,0.007510027833940188,0.1661886901645555,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1770,False,0.18369992467416119,-0.2249366354239214,0.019065782433645873,0.04326901940167781,0.2249366354239214,0.2999965472609557,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,368,False,0.447063149853852,0.20656733681605668,0.1385070612152296,0.23516861113355889,0.20656733681605668,0.20662026367114297,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,189,False,0.3405301895867933,0.011453189717561416,0.0690783913759212,0.1484284733918229,0.011453189717561416,0.14389362656173973,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,1,True,,0.007509843713584393,,,0.007509843713584393,0.16416483921366593,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1714,False,0.16816925688743167,-0.20027140673407529,0.024937241909252394,0.050947509642974564,0.20027140673407529,0.30912279230104,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,430,False,0.4796718455060258,0.18011617036165112,0.1468175366179173,0.25045307779626513,0.18011617036165112,0.1801690972167374,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,186,False,0.6121470333278003,0.012809206767156883,0.13713274696149014,0.2896935400933413,0.012809206767156883,0.12047509432872863,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,0,True,,0.007939028262940616,,,0.007939028262940616,0.18021766645768272,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1719,False,0.17434387415207997,-0.20273172051514377,0.01803294208150008,0.04050597730085774,0.20273172051514377,0.2991991220000112,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,402,False,0.48464696988413525,0.19204907852097436,0.14122050277429343,0.24722921530474135,0.19204907852097436,0.19210200537606065,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,205,False,0.4263091104324423,0.004623981600799645,0.11015358353876681,0.22763415800278597,0.004623981600799645,0.13818534317105294,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,2,True,,0.007081027404939758,,,0.007081027404939758,0.16833369230955764,0.02981848141104289,0.920181518588957,1
nslkdd,mlp,Normal,1764,False,0.19143081363991699,-0.22171223006169105,0.02295661315772002,0.04855121891495799,0.22171223006169105,0.3138397734331154,0.9268402777777777,0.02315972222222229,0
nslkdd,mlp,DoS,402,False,0.46225891018264276,0.19212303142511594,0.1362730071506858,0.23606252890998775,0.19212303142511594,0.19217595828020223,0.39876378933089374,0.5512362106691062,1
nslkdd,mlp,Probe,162,False,0.5492238951358448,0.023100801964412457,0.1238646811338634,0.2534233147887228,0.023100801964412457,0.12776497426011799,0.6278059099362795,0.32219409006372046,1
nslkdd,mlp,R2L,2,True,,0.007081395329835985,,,0.007081395329835985,0.18150411585733967,0.02981848141104289,0.920181518588957,1
