dataset,class,rank_drift,pred_mass_drop,abs_z_drift,abs_z_confidence,b_confidence_shift,b_entropy_shift,low_support,undercoverage,failing
cicids2017,Benign,0.004982016583481869,-0.4913981476288295,12.60237036752894,10.126092086804881,0.0011403846422746414,0.0019612714086462003,False,-8.066666666672884e-05,0
cicids2017,DoS,0.14928011953584447,0.4913981476288294,53.36110840964026,51.908662705732844,0.014827540203091936,0.036755256418889534,False,0.3461033333333332,1
ciciot2023,Benign,0.016375439895452218,0.0007988052932667385,0.8047266242234988,0.29247705455299733,0.0028222066716411995,0.00550707258979572,False,-0.000579964172663705,0
ciciot2023,BruteForce,0.044233917405490646,1.6794868600521514e-05,-0.2321178873160451,-0.3042807046818383,0.009255305433831192,0.02056447792979281,False,-0.005812900581841918,0
ciciot2023,DDoS,0.0017820566810089293,0.0042584312117859785,-1.1787897707495092,0.21643513586961072,0.00016800987897304232,0.00040286111862838356,False,-3.3294205956657663e-06,0
ciciot2023,DoS,0.0054305208808430915,0.0016398580885727604,-0.07747273571265802,-0.8013288198919339,0.0001466803708256951,0.00035915817859891907,False,0.00013877521707805762,0
ciciot2023,Mirai,0.0019184281720946547,0.0010902501575488731,-0.5161159364719081,-0.2911803642157965,9.5969428180736e-05,0.00022630376252500195,False,-0.00036269767488306126,0
ciciot2023,Recon,0.015070220524938263,-0.0033401878384091174,4.824071085098236,5.907020863558665,0.006691605218398067,0.014691663687252943,False,0.0002707004991331363,0
ciciot2023,Spoofing,0.02782930797046432,-0.0021781580220701477,6.480068487649672,6.9835188405167,0.013088933441501971,0.02865138844614957,False,-0.0028379475048357916,0
ciciot2023,Web,0.10867739849879654,-0.002285793759295612,7.512447229816279,6.861341112721967,0.04290074019416008,0.09640763043483108,False,-0.0019120427455815436,0
nslkdd,DoS,0.46571676967243253,0.2152909783845446,66.75325132064492,59.57725354495184,0.07414065919025942,0.16705262138147767,False,0.5512362106691062,1
nslkdd,Normal,0.20123447948286904,-0.22268350487569666,34.85436862815787,26.27455323782906,0.01683253915439459,0.041530923152673066,False,0.02315972222222229,0
nslkdd,Probe,0.42407265425935964,0.0016577794642283503,25.539607736865488,24.45636655437986,0.067208202040559,0.16049814759346426,False,0.32219409006372046,1
nslkdd,R2L,,0.006463411540658877,,,,,True,0.920181518588957,1
ugr16,background,0.06822194072585544,-0.01325620370370368,39.96792855832118,42.3708599480186,0.018610252384051857,0.03752293043499438,False,0.0008500000000000174,0
ugr16,dos,0.015896582901388272,-0.0001546296296296311,2.526777814120498,4.764110011584515,0.0007122547032217449,0.0018408484916473161,False,-0.00032333333333334213,0
ugr16,nerisbotnet,0.04533420454380301,0.013801759259259257,9.382133645141495,3.7093370398438754,0.004277724007896549,0.008946134447875682,False,0.0027166666666665895,0
ugr16,scan11,0.14528834656066814,0.022867592592592592,43.08840207146909,22.420447435499348,0.020748999297911606,0.014891918159846652,False,0.41497666666666666,1
ugr16,scan44,0.15342988715513048,-0.023258518518518526,45.54953054137192,18.301403156966767,0.024290778441005592,0.030507990865576724,False,0.15097666666666665,1
