signal,rho,auroc,n
monitor,0.15004699439384786,0.8397435897435896,19
b_confidence_shift,0.2542854092359137,0.9,18
b_entropy_shift,0.1567228440596856,0.7846153846153846,18
b_share_drift,0.32509645770372947,0.6153846153846153,19
b_raw_score_ks,0.004417071436191977,0.5448717948717948,19
