ladder,rung,realization,arch,seed,coverage,S_sup,score_KS,n_focal
placebo_seen_only,0.0,12,mlp,12345,0.451505016722408,0.0,0.6351148122376602,299
placebo_seen_only,0.25,12,mlp,12345,0.2909698996655518,0.0,0.7220713339767907,299
placebo_seen_only,0.5,12,mlp,12345,0.22408026755852842,0.0,0.7723507889834123,299
placebo_seen_only,0.75,12,mlp,12345,0.11705685618729098,0.0,0.856030167673004,299
placebo_seen_only,1.0,12,mlp,12345,0.016722408026755852,0.0,0.9564319543893516,299
placebo_seen_only,0.0,13,mlp,12345,0.4414715719063545,0.0,0.6217368858162555,299
placebo_seen_only,0.25,13,mlp,12345,0.3511705685618729,0.0,0.7053489259500348,299
placebo_seen_only,0.5,13,mlp,12345,0.23745819397993312,0.0,0.7623173441673587,299
placebo_seen_only,0.75,13,mlp,12345,0.10702341137123746,0.0,0.8627191308837063,299
placebo_seen_only,1.0,13,mlp,12345,0.023411371237458192,0.0,0.9497429911786492,299
placebo_seen_only,0.0,14,mlp,12345,0.49498327759197325,0.0,0.5949810329734462,299
placebo_seen_only,0.25,14,mlp,12345,0.32441471571906355,0.0,0.7053489259500348,299
placebo_seen_only,0.5,14,mlp,12345,0.23076923076923078,0.0,0.7890731970101681,299
placebo_seen_only,0.75,14,mlp,12345,0.12040133779264214,0.0,0.8359183856703554,299
placebo_seen_only,1.0,14,mlp,12345,0.006688963210702341,0.0,0.9664653992054051,299
placebo_seen_only,0.0,15,mlp,12345,0.5083612040133779,0.0,0.6217368858162555,299
placebo_seen_only,0.25,15,mlp,12345,0.33444816053511706,0.0,0.7153823707660883,299
placebo_seen_only,0.5,15,mlp,12345,0.22408026755852842,0.0,0.7755830396624094,299
placebo_seen_only,0.75,15,mlp,12345,0.10033444816053512,0.0,0.8661309510448699,299
placebo_seen_only,1.0,15,mlp,12345,0.023411371237458192,0.0,0.9497429911786492,299
placebo_seen_only,0.0,16,mlp,12345,0.391304347826087,0.0,0.6551817018697672,299
placebo_seen_only,0.25,16,mlp,12345,0.35785953177257523,0.0,0.6819375547125766,299
placebo_seen_only,0.5,16,mlp,12345,0.27759197324414714,0.0,0.7387937420035465,299
placebo_seen_only,0.75,16,mlp,12345,0.14046822742474915,0.0,0.8392404210904357,299
placebo_seen_only,1.0,16,mlp,12345,0.016722408026755852,0.0,0.9564319543893516,299
placebo_seen_only,0.0,17,mlp,12345,0.411371237458194,0.0,0.6551817018697672,299
placebo_seen_only,0.25,17,mlp,12345,0.3411371237458194,0.0,0.6919709995286301,299
placebo_seen_only,0.5,17,mlp,12345,0.2140468227424749,0.0,0.7722385580570582,299
placebo_seen_only,0.75,17,mlp,12345,0.14046822742474915,0.0,0.8292518686449238,299
placebo_seen_only,1.0,17,mlp,12345,0.010033444816053512,0.0,0.9597764359947027,299
placebo_seen_only,0.0,18,mlp,12345,0.44481605351170567,0.0,0.6652151466858207,299
placebo_seen_only,0.25,18,mlp,12345,0.31438127090301005,0.0,0.7153823707660883,299
placebo_seen_only,0.5,18,mlp,12345,0.21070234113712374,0.0,0.7857287154048169,299
placebo_seen_only,0.75,18,mlp,12345,0.12374581939799331,0.0,0.8392853134609773,299
placebo_seen_only,1.0,18,mlp,12345,0.010033444816053512,0.0,0.9597764359947027,299
placebo_seen_only,0.0,19,mlp,12345,0.5150501672240803,0.0,0.6551817018697672,299
placebo_seen_only,0.25,19,mlp,12345,0.3411371237458194,0.0,0.7053489259500348,299
placebo_seen_only,0.5,19,mlp,12345,0.2508361204013378,0.0,0.7389508653004422,299
placebo_seen_only,0.75,19,mlp,12345,0.15384615384615385,0.0,0.8157168189266234,299
placebo_seen_only,1.0,19,mlp,12345,0.023411371237458192,0.0,0.9497429911786492,299
placebo_seen_only,0.0,0,mlp,1337,0.4180602006688963,0.0,0.8424726717694327,299
placebo_seen_only,0.25,0,mlp,1337,0.28762541806020064,0.0,0.8290947453480281,299
placebo_seen_only,0.5,0,mlp,1337,0.2040133779264214,0.0,0.8792619694282957,299
placebo_seen_only,0.75,0,mlp,1337,0.0802675585284281,0.0,0.8826064510336469,299
placebo_seen_only,1.0,0,mlp,1337,0.010033444816053512,0.0,0.9564095082040808,299
placebo_seen_only,0.0,1,mlp,1337,0.34782608695652173,0.0,0.8525061165854863,299
placebo_seen_only,0.25,1,mlp,1337,0.27759197324414714,0.0,0.8458171533747839,299
placebo_seen_only,0.5,1,mlp,1337,0.21739130434782608,0.0,0.8658840430068909,299
placebo_seen_only,0.75,1,mlp,1337,0.08361204013377926,0.0,0.875984826378757,299
placebo_seen_only,1.0,1,mlp,1337,0.013377926421404682,0.0,0.9530650265987295,299
placebo_seen_only,0.0,2,mlp,1337,0.4080267558528428,0.0,0.8290947453480281,299
placebo_seen_only,0.25,2,mlp,1337,0.2809364548494983,0.0,0.8625395614015398,299
placebo_seen_only,0.5,2,mlp,1337,0.23076923076923078,0.0,0.8692285246122422,299
placebo_seen_only,0.75,2,mlp,1337,0.11036789297658862,0.0,0.885950932638998,299
placebo_seen_only,1.0,2,mlp,1337,0.013377926421404682,0.0,0.9530650265987295,299
placebo_seen_only,0.0,3,mlp,1337,0.39464882943143814,0.0,0.8424726717694327,299
placebo_seen_only,0.25,3,mlp,1337,0.3311036789297659,0.0,0.8458171533747839,299
placebo_seen_only,0.5,3,mlp,1337,0.22742474916387959,0.0,0.8658840430068909,299
placebo_seen_only,0.75,3,mlp,1337,0.12374581939799331,0.0,0.8926398958497004,299
placebo_seen_only,1.0,3,mlp,1337,0.013377926421404682,0.0,0.9531099189692712,299
placebo_seen_only,0.0,4,mlp,1337,0.3411371237458194,0.0,0.8491616349801351,299
placebo_seen_only,0.25,4,mlp,1337,0.30434782608695654,0.0,0.8558281520055666,299
placebo_seen_only,0.5,4,mlp,1337,0.23411371237458195,0.0,0.8525061165854863,299
placebo_seen_only,0.75,4,mlp,1337,0.10702341137123746,0.0,0.8893627528001616,299
placebo_seen_only,1.0,4,mlp,1337,0.013377926421404682,0.0,0.9564544005746224,299
placebo_seen_only,0.0,5,mlp,1337,0.391304347826087,0.0,0.8457947071895131,299
placebo_seen_only,0.25,5,mlp,1337,0.2809364548494983,0.0,0.8591950797961886,299
placebo_seen_only,0.5,5,mlp,1337,0.1806020066889632,0.0,0.8759174878229445,299
placebo_seen_only,0.75,5,mlp,1337,0.10033444816053512,0.0,0.8792619694282957,299
placebo_seen_only,1.0,5,mlp,1337,0.0033444816053511705,0.0,0.9631433637853247,299
placebo_seen_only,0.0,6,mlp,1337,0.35451505016722407,0.0,0.8525061165854863,299
placebo_seen_only,0.25,6,mlp,1337,0.3010033444816054,0.0,0.8391281901640816,299
placebo_seen_only,0.5,6,mlp,1337,0.23745819397993312,0.0,0.8625395614015398,299
placebo_seen_only,0.75,6,mlp,1337,0.10033444816053512,0.0,0.8759174878229445,299
placebo_seen_only,1.0,6,mlp,1337,0.006688963210702341,0.0,0.9564095082040808,299
placebo_seen_only,0.0,7,mlp,1337,0.38461538461538464,0.0,0.8458171533747839,299
placebo_seen_only,0.25,7,mlp,1337,0.2976588628762542,0.0,0.8558505981908374,299
placebo_seen_only,0.5,7,mlp,1337,0.17391304347826086,0.0,0.8759174878229445,299
placebo_seen_only,0.75,7,mlp,1337,0.09364548494983277,0.0,0.885950932638998,299
placebo_seen_only,1.0,7,mlp,1337,0.013377926421404682,0.0,0.9530650265987295,299
placebo_seen_only,0.0,8,mlp,1337,0.34448160535117056,0.0,0.8123723373212722,299
placebo_seen_only,0.25,8,mlp,1337,0.3277591973244147,0.0,0.8558505981908374,299
placebo_seen_only,0.5,8,mlp,1337,0.22742474916387959,0.0,0.8658840430068909,299
placebo_seen_only,0.75,8,mlp,1337,0.11371237458193979,0.0,0.8725730062175934,299
placebo_seen_only,1.0,8,mlp,1337,0.010033444816053512,0.0,0.9564095082040808,299
placebo_seen_only,0.0,9,mlp,1337,0.33444816053511706,0.0,0.8290947453480281,299
placebo_seen_only,0.25,9,mlp,1337,0.3110367892976589,0.0,0.8324392269533792,299
placebo_seen_only,0.5,9,mlp,1337,0.21070234113712374,0.0,0.8692285246122422,299
placebo_seen_only,0.75,9,mlp,1337,0.0903010033444816,0.0,0.8826064510336469,299
placebo_seen_only,1.0,9,mlp,1337,0.006688963210702341,0.0,0.9564095082040808,299
placebo_seen_only,0.0,10,mlp,1337,0.42474916387959866,0.0,0.8257502637426769,299
placebo_seen_only,0.25,10,mlp,1337,0.3277591973244147,0.0,0.8458171533747839,299
placebo_seen_only,0.5,10,mlp,1337,0.17725752508361203,0.0,0.8725730062175934,299
placebo_seen_only,0.75,10,mlp,1337,0.12040133779264214,0.0,0.885950932638998,299
placebo_seen_only,1.0,10,mlp,1337,0.0,0.0,0.9664429530201343,299
placebo_seen_only,0.0,11,mlp,1337,0.38461538461538464,0.0,0.8391281901640816,299
placebo_seen_only,0.25,11,mlp,1337,0.2608695652173913,0.0,0.8625395614015398,299
placebo_seen_only,0.5,11,mlp,1337,0.20066889632107024,0.0,0.8591950797961886,299
placebo_seen_only,0.75,11,mlp,1337,0.0903010033444816,0.0,0.8792619694282957,299
placebo_seen_only,1.0,11,mlp,1337,0.010033444816053512,0.0,0.9564095082040808,299
placebo_seen_only,0.0,12,mlp,1337,0.41471571906354515,0.0,0.8391281901640816,299
placebo_seen_only,0.25,12,mlp,1337,0.27424749163879597,0.0,0.8625395614015398,299
placebo_seen_only,0.5,12,mlp,1337,0.1806020066889632,0.0,0.8826064510336469,299
placebo_seen_only,0.75,12,mlp,1337,0.09698996655518395,0.0,0.8826737895894593,299
placebo_seen_only,1.0,12,mlp,1337,0.006688963210702341,0.0,0.9597539898094319,299
placebo_seen_only,0.0,13,mlp,1337,0.3712374581939799,0.0,0.8324392269533792,299
placebo_seen_only,0.25,13,mlp,1337,0.3076923076923077,0.0,0.8591950797961886,299
placebo_seen_only,0.5,13,mlp,1337,0.19063545150501673,0.0,0.8792619694282957,299
placebo_seen_only,0.75,13,mlp,1337,0.08695652173913043,0.0,0.8826064510336469,299
placebo_seen_only,1.0,13,mlp,1337,0.013377926421404682,0.0,0.9564095082040808,299
placebo_seen_only,0.0,14,mlp,1337,0.4414715719063545,0.0,0.8157168189266234,299
placebo_seen_only,0.25,14,mlp,1337,0.2976588628762542,0.0,0.8391281901640816,299
placebo_seen_only,0.5,14,mlp,1337,0.1939799331103679,0.0,0.8692285246122422,299
placebo_seen_only,0.75,14,mlp,1337,0.11036789297658862,0.0,0.8826737895894593,299
placebo_seen_only,1.0,14,mlp,1337,0.0033444816053511705,0.0,0.9597539898094319,299
placebo_seen_only,0.0,15,mlp,1337,0.36789297658862874,0.0,0.8391281901640816,299
placebo_seen_only,0.25,15,mlp,1337,0.25418060200668896,0.0,0.8491616349801351,299
placebo_seen_only,0.5,15,mlp,1337,0.20735785953177258,0.0,0.8591950797961886,299
placebo_seen_only,0.75,15,mlp,1337,0.07357859531772576,0.0,0.8926398958497004,299
placebo_seen_only,1.0,15,mlp,1337,0.006688963210702341,0.0,0.9597539898094319,299
placebo_seen_only,0.0,16,mlp,1337,0.3277591973244147,0.0,0.8357837085587304,299
placebo_seen_only,0.25,16,mlp,1337,0.2976588628762542,0.0,0.8658840430068909,299
placebo_seen_only,0.5,16,mlp,1337,0.21739130434782608,0.0,0.8591950797961886,299
placebo_seen_only,0.75,16,mlp,1337,0.09364548494983277,0.0,0.8759174878229445,299
placebo_seen_only,1.0,16,mlp,1337,0.006688963210702341,0.0,0.9631433637853247,299
placebo_seen_only,0.0,17,mlp,1337,0.36454849498327757,0.0,0.8190613005319746,299
placebo_seen_only,0.25,17,mlp,1337,0.2909698996655518,0.0,0.8424726717694327,299
placebo_seen_only,0.5,17,mlp,1337,0.19732441471571907,0.0,0.8658840430068909,299
placebo_seen_only,0.75,17,mlp,1337,0.10367892976588629,0.0,0.8725730062175934,299
placebo_seen_only,1.0,17,mlp,1337,0.0033444816053511705,0.0,0.9597988821799736,299
placebo_seen_only,0.0,18,mlp,1337,0.35451505016722407,0.0,0.8224057821373257,299
placebo_seen_only,0.25,18,mlp,1337,0.24414715719063546,0.0,0.8591950797961886,299
placebo_seen_only,0.5,18,mlp,1337,0.17391304347826086,0.0,0.8625395614015398,299
placebo_seen_only,0.75,18,mlp,1337,0.11371237458193979,0.0,0.8725730062175934,299
placebo_seen_only,1.0,18,mlp,1337,0.006688963210702341,0.0,0.9597539898094319,299
placebo_seen_only,0.0,19,mlp,1337,0.34782608695652173,0.0,0.8391281901640816,299
placebo_seen_only,0.25,19,mlp,1337,0.2842809364548495,0.0,0.8391281901640816,299
placebo_seen_only,0.5,19,mlp,1337,0.2140468227424749,0.0,0.8458171533747839,299
placebo_seen_only,0.75,19,mlp,1337,0.13043478260869565,0.0,0.8826064510336469,299
placebo_seen_only,1.0,19,mlp,1337,0.010033444816053512,0.0,0.9564544005746224,299
placebo_seen_only,0.0,0,mlp,2024,0.34448160535117056,0.0,0.8557608134497542,299
placebo_seen_only,0.25,0,mlp,2024,0.29431438127090304,0.0,0.852416331844403,299
placebo_seen_only,0.5,0,mlp,2024,0.18729096989966554,0.0,0.8657942582658077,299
placebo_seen_only,0.75,0,mlp,2024,0.0802675585284281,0.0,0.8795088774662746,299
placebo_seen_only,1.0,0,mlp,2024,0.010033444816053512,0.0,0.9496980988081075,299
placebo_seen_only,0.0,1,mlp,2024,0.3411371237458194,0.0,0.8457273686337007,299
placebo_seen_only,0.25,1,mlp,2024,0.2709030100334448,0.0,0.8457273686337007,299
placebo_seen_only,0.5,1,mlp,2024,0.21070234113712374,0.0,0.8591052950551054,299
placebo_seen_only,0.75,1,mlp,2024,0.11705685618729098,0.0,0.8760297187492986,299
placebo_seen_only,1.0,1,mlp,2024,0.023411371237458192,0.0,0.946398509573298,299
placebo_seen_only,0.0,2,mlp,2024,0.3377926421404682,0.0,0.8423828870283495,299
placebo_seen_only,0.25,2,mlp,2024,0.30434782608695654,0.0,0.8457273686337007,299
placebo_seen_only,0.5,2,mlp,2024,0.22742474916387959,0.0,0.8624497766604565,299
placebo_seen_only,0.75,2,mlp,2024,0.11705685618729098,0.0,0.87248322147651,299
placebo_seen_only,1.0,2,mlp,2024,0.016722408026755852,0.0,0.9531099189692712,299
placebo_seen_only,0.0,3,mlp,2024,0.4080267558528428,0.0,0.852416331844403,299
placebo_seen_only,0.25,3,mlp,2024,0.27759197324414714,0.0,0.852416331844403,299
placebo_seen_only,0.5,3,mlp,2024,0.19063545150501673,0.0,0.8557608134497542,299
placebo_seen_only,0.75,3,mlp,2024,0.12709030100334448,0.0,0.8657942582658077,299
