dataset,class,monitor_drift,pred_mass_drop,b_confidence_shift,b_entropy_shift,b_share_drift,b_raw_score_ks,low_support,undercoverage,failing,det_monitor
cicids2017,Benign,0.004869063166209226,-0.49939703806384356,0.0012809352117590467,0.002389705033591961,0.49939703806384356,0.5023079573247174,False,-8.066666666672884e-05,0,0.5
cicids2017,DoS,0.31547616658523314,0.49939703806384356,0.03509350536088806,0.07107390674790062,0.49939703806384356,0.49940107859238,False,0.3461033333333332,1,1.0
ciciot2023,Benign,0.01319570371371341,0.0005036701513326945,0.0018539920958750566,0.003968762428305909,0.0005036701513326945,0.006526313547329857,False,-0.000579964172663705,0,0.625
ciciot2023,BruteForce,0.0388487496628746,-0.00013296216754480722,0.007735531831164663,0.018700858204227493,0.00015357500997424477,0.006688087207396296,False,-0.005812900581841918,0,0.875
ciciot2023,DDoS,0.0008659178919847715,0.004266814215199296,7.049096911931156e-05,0.00015327402717992913,0.004266814215199296,0.0051177284312217885,False,-3.3294205956657663e-06,0,0.125
ciciot2023,DoS,0.0025197803177205796,0.001587384662386109,9.511924195471459e-05,0.00020901607606336857,0.001587384662386109,0.004151981805885999,False,0.00013877521707805762,0,0.375
ciciot2023,Mirai,0.001063421821778924,0.0011407461759547941,8.781934679122546e-05,0.00020159482541830034,0.0011407461759547941,0.004008151527475147,False,-0.00036269767488306126,0,0.25
ciciot2023,Recon,0.012251114849696234,-0.0018314054169309266,0.00505660780855746,0.011187774705785187,0.0018314054169309266,0.0066143444533771955,False,0.0002707004991331363,0,0.5
ciciot2023,Spoofing,0.01874791518980177,-0.000993907696209644,0.007946454742219796,0.017088314538545778,0.000993907696209644,0.007969858222732813,False,-0.0028379475048357916,0,0.75
ciciot2023,Web,0.07850884923762155,-0.004540339924187523,0.02039785355540148,0.0441208054004186,0.004540339924187523,0.008678285148079433,False,-0.0019120427455815436,0,1.0
nslkdd,DoS,0.41034416771754784,0.23721364260448538,0.07695050778661708,0.15651663605540322,0.23721364260448538,0.2386064616066901,False,0.5512362106691062,1,0.6666666666666666
nslkdd,Normal,0.28102540953150235,-0.24991329184574965,0.02861860606314968,0.06399799833157958,0.24991329184574965,0.334115847051527,False,0.02315972222222229,0,0.3333333333333333
nslkdd,Probe,0.4961553404639678,0.00701514953535409,0.10187127772086753,0.21878265623226406,0.011362654401800953,0.2148218591210301,False,0.32219409006372046,1,1.0
nslkdd,R2L,,0.005710410991350913,,,0.005710410991350913,0.2776659875770095,True,0.9201815185889571,1,0.5
ugr16,background,0.04293561884487554,-0.005648444444444443,0.00641149710269695,0.013329513417194853,0.005648444444444443,0.03180675000000001,False,0.0008500000000000174,0,0.4
ugr16,dos,0.008199438019937935,-1.994444444444558e-05,0.000300570522910019,0.0009036482812721353,8.144444444444325e-05,0.013059388888888893,False,-0.00032333333333334213,0,0.2
ugr16,nerisbotnet,0.06627349284433988,0.00553991666666667,0.003037168914884403,0.009652340295663815,0.00553991666666667,0.030015777777777773,False,0.0027166666666665895,0,0.6
ugr16,scan11,0.09925071338880417,0.041556972222222224,0.011227009902682505,0.01006743816341549,0.041556972222222224,0.04638,False,0.41497666666666666,1,0.8
ugr16,scan44,0.19138391394957815,-0.0414285,0.008313196947283072,0.012081782316863968,0.0414285,0.05166219444444445,False,0.15097666666666665,1,1.0
