dataset,realization,arch,seed,draw,ess,marg_unw,marg_ipw,focal_unw,focal_ipw,w_Benign,w_DoS
cicids2017,R1_holdout_Slowhttptest,mlp,12345,0,1903.8070201022965,0.947625828019563,0.8221381696884248,0.706766917293233,0.706766917293233,0.47899931145283453,47.936090225563916
cicids2017,R1_holdout_Slowhttptest,mlp,12345,1,1981.7968079998484,0.9492767081450298,0.8046056159374746,0.6714801444043321,0.6714801444043322,0.4792192881745121,46.03249097472924
cicids2017,R1_holdout_Slowhttptest,mlp,12345,2,1804.4622270270784,0.946222579912916,0.8242841590329661,0.7123015873015873,0.7123015873015873,0.4787196329892608,50.59920634920635
cicids2017,R1_holdout_Slowhttptest,mlp,12345,3,1981.7968079998484,0.9509894962752017,0.8289273516951741,0.7166064981949458,0.7166064981949459,0.4792192881745121,46.03249097472924
cicids2017,R1_holdout_Slowhttptest,mlp,12345,4,1946.3541966700952,0.9475432840132896,0.7977292293443444,0.6599264705882353,0.6599264705882353,0.4791192737138683,46.87867647058824
cicids2017,R1_holdout_Slowhttptest,mlp,12345,5,1854.1465307069236,0.9464495759301678,0.8194231918181345,0.7027027027027027,0.7027027027027025,0.47885943138441,49.231660231660236
cicids2017,R1_holdout_Slowhttptest,mlp,12345,6,1928.6283332175813,0.9456241358674343,0.8106157015616465,0.686456400742115,0.6864564007421149,0.4790692821368948,47.31354359925789
cicids2017,R1_holdout_Slowhttptest,mlp,12345,7,1939.2642158949411,0.9495037041622815,0.820113686849416,0.7011070110701108,0.7011070110701106,0.47909927583112466,47.05166051660517
cicids2017,R1_holdout_Slowhttptest,mlp,12345,8,1917.9913567569781,0.9441796157576507,0.8206650084540287,0.707089552238806,0.7070895522388058,0.4790392921979008,47.57835820895523
cicids2017,R1_holdout_Slowhttptest,mlp,12345,9,1988.8838716765147,0.9477083720258362,0.808221442166026,0.6798561151079137,0.6798561151079136,0.47923929607748994,45.86690647482015
cicids2017,R1_holdout_Slowhttptest,mlp,1337,0,1946.3541966700948,0.9500196042014899,0.8860483035671148,0.8272058823529411,0.8272058823529413,0.4791192737138683,46.87867647058824
cicids2017,R1_holdout_Slowhttptest,mlp,1337,1,1964.0770216570984,0.9482036360634764,0.8935934472360696,0.843351548269581,0.8433515482695811,0.4791692757253183,46.451730418943534
cicids2017,R1_holdout_Slowhttptest,mlp,1337,2,1871.8851537630358,0.9494211601560082,0.8940766865000161,0.8432122370936902,0.8432122370936902,0.47890937917222964,48.76099426386234
cicids2017,R1_holdout_Slowhttptest,mlp,1337,3,2024.3118964841829,0.950081512206195,0.9024804941749263,0.8586572438162544,0.8586572438162543,0.47933936065813376,45.0565371024735
cicids2017,R1_holdout_Slowhttptest,mlp,1337,4,2049.104280514697,0.9500402402030582,0.8879209225808087,0.8307155322862129,0.8307155322862129,0.47940943073132025,44.50610820244328
cicids2017,R1_holdout_Slowhttptest,mlp,1337,5,2003.0565403490407,0.9487608081058214,0.8954742959196802,0.8464285714285714,0.8464285714285715,0.47927931689596864,45.53928571428572
cicids2017,R1_holdout_Slowhttptest,mlp,1337,6,2034.9379333749387,0.9492973441465982,0.8851104623816551,0.8260105448154658,0.8260105448154657,0.47936938818124875,44.81898066783832
cicids2017,R1_holdout_Slowhttptest,mlp,1337,7,1917.9913567569781,0.9508863162673601,0.8860820451373442,0.8264925373134329,0.8264925373134328,0.4790392921979008,47.57835820895523
cicids2017,R1_holdout_Slowhttptest,mlp,1337,8,1999.5135555195855,0.9493386161497348,0.875113266514569,0.8067978533094812,0.8067978533094812,0.47926931106471815,45.62075134168158
cicids2017,R1_holdout_Slowhttptest,mlp,1337,9,2013.6847654626774,0.945479683856456,0.8952556363458442,0.8490230905861457,0.8490230905861457,0.4793093368966093,45.29662522202487
cicids2017,R1_holdout_Slowhttptest,mlp,2024,0,1893.1674916309178,0.9470273839740811,0.8278724111647296,0.718336483931947,0.7183364839319472,0.4789693302733153,48.20793950850662
cicids2017,R1_holdout_Slowhttptest,mlp,2024,1,1960.5326997455172,0.9446955157968592,0.8024212730496713,0.6715328467153284,0.6715328467153284,0.4791592744881134,46.53649635036497
cicids2017,R1_holdout_Slowhttptest,mlp,2024,2,2017.2272640375434,0.9466559359458512,0.7990245543528293,0.6631205673758865,0.6631205673758864,0.4793193443992066,45.21631205673759
cicids2017,R1_holdout_Slowhttptest,mlp,2024,3,1942.8092670511119,0.9462844879176211,0.8083084229927996,0.6813996316758748,0.6813996316758747,0.47910927456382,46.96500920810313
cicids2017,R1_holdout_Slowhttptest,mlp,2024,4,1889.6207391042012,0.9481623640603397,0.8014916593658916,0.6666666666666666,0.6666666666666667,0.4789593373808183,48.29924242424242
cicids2017,R1_holdout_Slowhttptest,mlp,2024,5,1978.2530938314173,0.9451082358282259,0.8041793917986712,0.674502712477396,0.6745027124773959,0.479209284849497,46.11573236889693
cicids2017,R1_holdout_Slowhttptest,mlp,2024,6,1836.4048701145357,0.9473988320023112,0.8102275857919811,0.6842105263157895,0.6842105263157894,0.47880949401409917,49.71150097465887
cicids2017,R1_holdout_Slowhttptest,mlp,2024,7,1978.2530938314173,0.9481417280587713,0.82070115523204,0.7034358047016275,0.7034358047016275,0.479209284849497,46.11573236889693
cicids2017,R1_holdout_Slowhttptest,mlp,2024,8,1861.242344443727,0.9442415237623558,0.796919136969195,0.6615384615384615,0.6615384615384614,0.4788794092492543,49.0423076923077
cicids2017,R1_holdout_Slowhttptest,mlp,2024,9,2006.599403616995,0.9484719040838647,0.8267938498338935,0.714795008912656,0.714795008912656,0.47928932314501654,45.45811051693405
cicids2017,R1_holdout_Slowhttptest,mlp,3407,0,1942.8092670511103,0.947811552033678,0.8368592635877431,0.7348066298342542,0.734806629834254,0.47910927456382,46.96500920810313
cicids2017,R1_holdout_Slowhttptest,mlp,3407,1,1910.8994314782822,0.9503085082234466,0.8249758269313023,0.7097378277153558,0.709737827715356,0.479019300991132,47.756554307116104
cicids2017,R1_holdout_Slowhttptest,mlp,3407,2,1939.2642158949411,0.9475020120101529,0.8470257495462694,0.7546125461254612,0.7546125461254612,0.47909927583112466,47.05166051660517
cicids2017,R1_holdout_Slowhttptest,mlp,3407,3,1967.6212220229065,0.9456241358674343,0.8214857830056522,0.7072727272727273,0.7072727272727272,0.479179277380033,46.367272727272734
cicids2017,R1_holdout_Slowhttptest,mlp,3407,4,1956.988256289596,0.9453765038486143,0.8214759735540599,0.7074954296160878,0.7074954296160876,0.4791492736683921,46.62157221206582
cicids2017,R1_holdout_Slowhttptest,mlp,3407,5,1886.0738650617407,0.9445097917827442,0.8280824958146373,0.7210626185958254,0.7210626185958255,0.4789493449052825,48.39089184060722
cicids2017,R1_holdout_Slowhttptest,mlp,3407,6,2042.0213500992872,0.945789223879981,0.8035142387989468,0.6725043782837128,0.672504378283713,0.4793894086201136,44.66199649737303
