dataset,mean_scov,max_scov,tv_est,tv_none,helps
cicids2017,0.7494224312318847,0.9996698237137692,0.002393752892880201,0.5136916666666667,True
ciciot2023,0.5182775210999511,0.6535553861426323,0.008606987234861325,0.013533333333333342,True
nslkdd,0.9295162462411865,0.9905057471264368,0.22617787287775315,0.1375611926850804,False
ugr16,0.755175143888889,0.9996772,0.0478244087564406,0.0023666666666666974,False
