realization,rung,S_cov,S_lab,S_sup,novel
0,0.0,0.4969,0.0113,0.0,Backdoor_Malware|Uploading_Attack
0,0.2,0.4972,0.0045,0.1998,Backdoor_Malware|Uploading_Attack
0,0.4,0.5006,0.0116,0.3995,Backdoor_Malware|Uploading_Attack
0,0.6,0.5037,0.0069,0.6005,Backdoor_Malware|Uploading_Attack
0,0.8,0.5042,0.0077,0.8002,Backdoor_Malware|Uploading_Attack
1,0.0,0.5003,0.0138,0.0,Backdoor_Malware|Uploading_Attack
1,0.2,0.501,0.0038,0.1998,Backdoor_Malware|Uploading_Attack
1,0.4,0.4953,0.0061,0.3995,Backdoor_Malware|Uploading_Attack
1,0.6,0.5034,0.0077,0.6005,Backdoor_Malware|Uploading_Attack
1,0.8,0.5062,0.004,0.8002,Backdoor_Malware|Uploading_Attack
2,0.0,0.5007,0.0082,0.0,Backdoor_Malware|Uploading_Attack
2,0.2,0.5034,0.0073,0.1998,Backdoor_Malware|Uploading_Attack
2,0.4,0.4956,0.0038,0.3995,Backdoor_Malware|Uploading_Attack
2,0.6,0.5017,0.0113,0.6005,Backdoor_Malware|Uploading_Attack
2,0.8,0.5027,0.0079,0.8002,Backdoor_Malware|Uploading_Attack
3,0.0,0.4961,0.0055,0.0,Backdoor_Malware|Uploading_Attack
3,0.2,0.4954,0.007,0.1998,Backdoor_Malware|Uploading_Attack
3,0.4,0.501,0.0057,0.3995,Backdoor_Malware|Uploading_Attack
3,0.6,0.4995,0.0083,0.6005,Backdoor_Malware|Uploading_Attack
3,0.8,0.5032,0.0084,0.8002,Backdoor_Malware|Uploading_Attack
4,0.0,0.4992,0.0106,0.0,Backdoor_Malware|Uploading_Attack
4,0.2,0.5037,0.0059,0.1998,Backdoor_Malware|Uploading_Attack
4,0.4,0.5021,0.0071,0.3995,Backdoor_Malware|Uploading_Attack
4,0.6,0.5039,0.0039,0.6005,Backdoor_Malware|Uploading_Attack
4,0.8,0.4995,0.0056,0.8002,Backdoor_Malware|Uploading_Attack
