dataset,class,signal,oracle,undercoverage,failing,n_pred,low_support,gap
ciciot2023,Benign,-0.05,0.0006787414115598987,-0.000579964172663705,0,17481.433333333334,False,0.050678741411559904
ciciot2023,BruteForce,-0.05,-0.006689631708769247,-0.005812900581841918,0,2173.3,False,0.04331036829123076
ciciot2023,DDoS,-0.04971095493182379,-0.04647334007966119,-3.3294205956657663e-06,0,195618.46666666667,False,0.003237614852162604
ciciot2023,DoS,-0.046927666540258504,-0.040802172685969154,0.00013877521707805762,0,72125.56666666667,False,0.00612549385428935
ciciot2023,Mirai,-0.05,-0.048311052022552134,-0.00036269767488306126,0,54094.933333333334,False,0.0016889479774478688
ciciot2023,Recon,-0.04999952709285059,-0.0013588042724793465,0.0002707004991331363,0,74054.6,False,0.04864072282037124
ciciot2023,Spoofing,-0.05,-0.002570453238344375,-0.0028379475048357916,0,34756.6,False,0.04742954676165563
ciciot2023,Web,-0.05,-0.0014982512524813337,-0.0019120427455815436,0,5869.1,False,0.04850174874751867
nslkdd,DoS,-0.04908582917544375,0.622425074315258,0.5512362106691062,1,296.68,False,0.6715109034907017
nslkdd,Normal,-0.049762613844402566,-0.02152777777777778,0.02315972222222229,0,1829.5333333333333,False,0.028234836066624785
nslkdd,Probe,-0.05,0.43716403247398194,0.32219409006372046,1,199.18,False,0.48716403247398193
ugr16,background,-0.04902390267841465,-0.04281866666666667,0.0008500000000000174,0,207516.26666666666,False,0.0062052360117479805
ugr16,dos,-0.05,-0.049996000000000006,-0.00032333333333334213,0,50065.53333333333,False,3.9999999999970615e-06
ugr16,nerisbotnet,-0.05,-0.02900466666666667,0.0027166666666665895,0,42094.03333333333,False,0.02099533333333333
ugr16,scan11,-0.05,0.455238,0.41497666666666666,1,35948.76666666667,False,0.505238
ugr16,scan44,-0.05,0.14645533333333333,0.15097666666666665,1,64375.4,False,0.19645533333333332
