subtype,source_share,raw_predicted,estimated,true,abs_error
warezclient,0.8835616438356164,0.9417677642980936,0.9411282550765993,0.0,0.9411282550765993
guess_passwd,0.07534246575342465,0.04228769497400347,0.04640188213990529,0.5651974288337924,0.5187955466938872
warezmaster,0.02054794520547945,0.012478336221837088,0.012469862783495609,0.43342516069788795,0.42095529791439235
ftp_write,0.02054794520547945,0.0034662045060658577,0.0,0.0013774104683195593,0.0013774104683195593
