file,px_w,px_h,dpi,height_mm,compliant
Fig2.png,6101,2156,891,61.5,True
Fig3.png,5362,2706,783,87.8,True
Fig4.png,7364,2994,1075,70.7,True
Fig5.png,6028,2990,880,86.3,True
Fig6.png,6038,2405,881,69.3,True
Fig7.png,5362,2516,783,81.6,True
Fig8.png,5362,2516,783,81.6,True
