dataset,class,brier,ece
cicids2017,Benign,0.0001,0.0001
cicids2017,DoS,0.0001,0.0001
nslkdd,DoS,0.0003,0.0002
nslkdd,Normal,0.0018,0.0005
nslkdd,Probe,0.0007,0.0001
nslkdd,R2L,0.0007,0.0001
nslkdd,U2R,0.0002,0.0001
ugr16,background,0.0158,0.0014
ugr16,dos,0.0001,0.0001
ugr16,nerisbotnet,0.0144,0.0011
ugr16,scan11,0.0171,0.0019
ugr16,scan44,0.0173,0.0014
ciciot2023,Benign,0.011433,0.000458
ciciot2023,BruteForce,0.004358,0.000577
ciciot2023,DDoS,0.00205,0.00026
ciciot2023,DoS,0.001598,0.000213
ciciot2023,Mirai,0.000247,0.000121
ciciot2023,Recon,0.021255,0.000931
ciciot2023,Spoofing,0.016634,0.001471
ciciot2023,Web,0.00699,0.000476
