subtype,source_share,est_target_share,weight,n_source
warezclient,0.8835616438356164,0.9411282550765993,1.0651529088463836,129
guess_passwd,0.07534246575342465,0.04640188213990529,0.6158795265841975,11
warezmaster,0.02054794520547945,0.012469862783495609,0.606866655463453,3
ftp_write,0.02054794520547945,0.0,0.0,3
