dataset,class,n_src,n_tgt,ks,coverage,under,q_src,env,feasible,included
cicids2017:R1_holdout_Slowhttptest,Benign,22957.0,153053.0,0.0018666666666666666,0.9998666666666667,-0.04986666666666667,0.5,cicids2017,True,True
cicids2017:R1_holdout_Slowhttptest,DoS,25502.0,1741.0,0.5116666666666667,0.7953333333333333,0.15466666666666665,0.5,cicids2017,True,True
cicids2017:R2_holdout_Slowloris,Benign,22957.0,153053.0,0.0004666666666666667,0.9998333333333335,-0.049833333333333334,0.5,cicids2017,True,True
cicids2017:R2_holdout_Slowloris,DoS,25163.0,3998.0,0.48419999999999996,0.5156666666666667,0.4343333333333333,0.5,cicids2017,True,True
cicids2017:R3_holdout_GoldenEye,Benign,22957.0,153053.0,0.00023333333333333333,0.9998999999999999,-0.0499,0.5,cicids2017,True,True
cicids2017:R3_holdout_GoldenEye,DoS,24628.0,7567.0,0.35223333333333334,0.7222,0.2278,0.5,cicids2017,True,True
cicids2017:R4_holdout_Slowloris_Slowhttptest,Benign,22957.0,153053.0,6.666666666666667e-05,0.9998666666666667,-0.04986666666666667,0.5,cicids2017,True,True
cicids2017:R4_holdout_Slowloris_Slowhttptest,DoS,24902.0,5739.0,0.8065000000000001,0.19346666666666668,0.7565333333333334,0.5,cicids2017,True,True
cicids2017:R5_holdout_GoldenEye_Slowloris,Benign,22957.0,153053.0,0.00013333333333333334,0.9998666666666667,-0.04986666666666667,0.5,cicids2017,True,True
cicids2017:R5_holdout_GoldenEye_Slowloris,DoS,24028.0,11565.0,0.4249,0.5750000000000001,0.375,0.5,cicids2017,True,True
ciciot2023:rung0.8,Benign,6299.0,2394.4,0.017971333333333336,0.95058,-0.00058,0.9226566666666667,ciciot2023,True,True
ciciot2023:rung0.8,BruteForce,1371.0,532.4,0.03939799999999997,0.955812,-0.005812,0.98888,ciciot2023,True,True
ciciot2023:rung0.8,DDoS,68476.0,25944.0,0.0021693333333333334,0.9500053333333334,-5.333333333366662e-06,0.5,ciciot2023,True,True
ciciot2023:rung0.8,DoS,25215.0,9571.4,0.004386666666666667,0.949858,0.000142,0.49998666666666663,ciciot2023,True,True
ciciot2023:rung0.8,Mirai,18953.0,7230.8,0.0022193333333333,0.9503613333333334,-0.0003613333333333333,0.49998666666666663,ciciot2023,True,True
ciciot2023:rung0.8,Recon,23055.0,8760.2,0.008973333333333333,0.949722,0.00027799999999996664,0.6349666666666667,ciciot2023,True,True
ciciot2023:rung0.8,Spoofing,12575.0,4755.8,0.0155593333333333,0.9528386666666666,-0.002839333333333333,0.8415966666666667,ciciot2023,True,True
ciciot2023:rung0.8,Web,2135.0,811.0,0.08930066666666665,0.9519160000000001,-0.001916,0.9648300000000001,ciciot2023,True,True
nslkdd:rung0.8,DoS,6889.0,4098.0,0.36466666666666664,0.6274666666666667,0.32253333333333334,0.5,nslkdd,True,True
nslkdd:rung0.8,Normal,10101.0,8649.0,0.0646,0.9727333333333333,-0.02273333333333333,0.5,nslkdd,True,True
nslkdd:rung0.8,Probe,1748.0,1890.0,0.3774,0.6303666666666666,0.3196333333333334,0.5,nslkdd,True,True
nslkdd:rung0.8,R2L,149.0,1618.0,0.9216333333333333,0.07353333333333334,0.8764666666666666,0.8039666666666667,nslkdd,True,True
nslkdd:rung0.8,U2R,7.0,46.0,0.5973,0.5362333333333333,0.41376666666666667,0.9769333333333333,nslkdd,False,False
ugr16:july_to_august,background,30000.0,200000.0,0.053233333333333334,0.9864999999999999,-0.0365,0.5,ugr16,True,True
ugr16:july_to_august,dos,7500.0,50000.0,0.007833333333333333,1.0,-0.05000000000000001,0.5,ugr16,True,True
ugr16:july_to_august,nerisbotnet,7500.0,50000.0,0.09216666666666666,0.9728666666666667,-0.022866666666666664,0.6246333333333333,ugr16,True,True
ugr16:july_to_august,scan11,7500.0,50000.0,0.5206333333333334,0.45966666666666667,0.49033333333333334,0.5954333333333334,ugr16,True,True
ugr16:july_to_august,scan44,7500.0,50000.0,0.19926666666666668,0.7883333333333334,0.16166666666666665,0.7241,ugr16,True,True
