arch,seed,val_macro_f1_raw,val_macro_f1_cal,secs
rf,42,0.8664,0.8783,157.0
rf,1337,0.8629,0.876,153.0
rf,2024,0.8672,0.8785,156.9
rf,7,0.8668,0.8775,160.0
rf,91,0.8694,0.8809,147.8
rf,512,0.8661,0.8779,149.0
rf,6021,0.8643,0.8781,147.9
rf,88,0.8616,0.8784,152.1
rf,3407,0.8671,0.8793,153.1
rf,12345,0.8691,0.8788,152.6
xgb,42,0.893,0.8926,234.2
xgb,1337,0.893,0.8926,241.2
xgb,2024,0.893,0.8926,235.1
xgb,7,0.893,0.8926,237.2
xgb,91,0.893,0.8926,235.5
xgb,512,0.893,0.8926,234.2
xgb,6021,0.893,0.8926,233.5
xgb,88,0.893,0.8926,249.0
xgb,3407,0.893,0.8926,257.7
xgb,12345,0.893,0.8926,238.7
mlp,42,0.7657,0.765,173.2
mlp,1337,0.7689,0.7668,183.1
mlp,2024,0.7621,0.7609,189.0
mlp,7,0.6645,0.6742,40.1
mlp,91,0.6831,0.6846,52.3
mlp,512,0.7653,0.7646,196.9
mlp,6021,0.7614,0.754,189.9
mlp,88,0.7473,0.7471,171.7
mlp,3407,0.6825,0.6831,48.9
mlp,12345,0.7633,0.7616,169.7
