dataset,arch,class,n_src,n_tgt,q_src,SHC_coverage,undercoverage,median_score_shift,q90_score_shift,score_KS,realization,rung,seed
ciciot2023:rung0.0,mlp,Benign,6299,2393,0.9462,0.9494,0.0006,0.0049,0.0095,0.0359,0,0.0,12345
ciciot2023:rung0.0,mlp,BruteForce,1371,511,0.9909,0.9581,-0.0081,0.0009,-0.0005,0.0447,0,0.0,12345
ciciot2023:rung0.0,mlp,DDoS,68476,25918,0.5,0.9503,-0.0003,0.0,0.0,0.0054,0,0.0,12345
ciciot2023:rung0.0,mlp,DoS,25215,9624,0.5,0.9491,0.0009,-0.0,0.0,0.0103,0,0.0,12345
ciciot2023:rung0.0,mlp,Mirai,18953,7255,0.5,0.9531,-0.0031,0.0,0.0,0.0031,0,0.0,12345
ciciot2023:rung0.0,mlp,Recon,23055,8685,0.698,0.9482,0.0018,0.001,0.0,0.0086,0,0.0,12345
ciciot2023:rung0.0,mlp,Spoofing,12575,4803,0.8816,0.9494,0.0006,0.0,-0.0101,0.0102,0,0.0,12345
ciciot2023:rung0.0,mlp,Web,2135,811,0.9695,0.9559,-0.0059,-0.0057,-0.0096,0.0368,0,0.0,12345
ciciot2023:rung0.0,mlp,Benign,6299,2393,0.935,0.9509,-0.0009,0.0021,-0.0027,0.0228,0,0.0,1337
ciciot2023:rung0.0,mlp,BruteForce,1371,511,0.9908,0.955,-0.005,-0.0126,-0.0004,0.0495,0,0.0,1337
ciciot2023:rung0.0,mlp,DDoS,68476,25918,0.5,0.9516,-0.0016,0.0,0.0,0.0037,0,0.0,1337
ciciot2023:rung0.0,mlp,DoS,25215,9624,0.5,0.9471,0.0029,0.0,0.0,0.0146,0,0.0,1337
ciciot2023:rung0.0,mlp,Mirai,18953,7255,0.5,0.9498,0.0002,0.0,0.0,0.0034,0,0.0,1337
ciciot2023:rung0.0,mlp,Recon,23055,8685,0.6972,0.9472,0.0028,0.0006,0.0,0.0102,0,0.0,1337
ciciot2023:rung0.0,mlp,Spoofing,12575,4803,0.8814,0.9504,-0.0004,0.0,0.0053,0.019,0,0.0,1337
ciciot2023:rung0.0,mlp,Web,2135,811,0.9739,0.9475,0.0025,-0.0117,-0.0048,0.0359,0,0.0,1337
ciciot2023:rung0.0,mlp,Benign,6299,2393,0.9371,0.949,0.001,0.003,-0.0182,0.0272,0,0.0,2024
ciciot2023:rung0.0,mlp,BruteForce,1371,511,0.9919,0.9685,-0.0185,0.0033,-0.0076,0.0521,0,0.0,2024
