dataset,arch,seed,class,brier,ece
ciciot2023,mlp,42,Mirai,0.0007135570841681561,0.0001927801306736636
ciciot2023,mlp,42,Recon,0.032546551488267,0.0004844298226033673
ciciot2023,mlp,42,Spoofing,0.02448485072581759,0.0005343571309096478
ciciot2023,mlp,42,Web,0.009642820854040213,0.00046390796196043075
ciciot2023,mlp,512,Benign,0.016542534736485166,0.0005951546102060254
ciciot2023,mlp,512,BruteForce,0.006296813080932173,7.418880061035681e-05
ciciot2023,mlp,512,DDoS,0.006754537998527115,0.001078031251281545
ciciot2023,mlp,512,DoS,0.005963987572543217,0.0006611730151196403
ciciot2023,mlp,512,Mirai,0.0007191167841264014,0.00015069312958888287
ciciot2023,mlp,512,Recon,0.03179932620359865,0.0007125152913845128
ciciot2023,mlp,512,Spoofing,0.024205105795518482,0.0008081721771730755
ciciot2023,mlp,512,Web,0.00966014611668158,0.00028104693076663284
ciciot2023,mlp,6021,Benign,0.016517375210756042,0.0007987509637806293
ciciot2023,mlp,6021,BruteForce,0.006294113458768038,0.00026050086537571346
ciciot2023,mlp,6021,DDoS,0.0019185406994447966,0.00015131778268609824
ciciot2023,mlp,6021,DoS,0.0006778687890847282,5.552820639438097e-05
ciciot2023,mlp,6021,Mirai,0.0005334267985695935,0.0001716639898341497
ciciot2023,mlp,6021,Recon,0.031021221122956057,0.0015628346974600421
ciciot2023,mlp,6021,Spoofing,0.02435316409280449,0.0011858895098933201
ciciot2023,mlp,6021,Web,0.009678360021048105,0.000281808009110755
ciciot2023,mlp,7,Benign,0.016280688097719535,0.0008239635778857384
ciciot2023,mlp,7,BruteForce,0.006298633983220711,0.0004485824151904585
ciciot2023,mlp,7,DDoS,0.0031524138733602246,0.0006640471471238535
ciciot2023,mlp,7,DoS,0.002045733526368439,0.0005273481877684489
ciciot2023,mlp,7,Mirai,0.0007570881046648042,0.00017217928788530078
ciciot2023,mlp,7,Recon,0.031142288266098682,0.001014967057301093
ciciot2023,mlp,7,Spoofing,0.023790664435658075,0.001292121168306043
ciciot2023,mlp,7,Web,0.009009377356519153,0.0002431604621571444
ciciot2023,mlp,88,Benign,0.016659641130901404,0.0016522587277515417
ciciot2023,mlp,88,BruteForce,0.006338480791492844,0.0002472292752415475
ciciot2023,mlp,88,DDoS,0.0038309312552008857,0.00043441564432579043
ciciot2023,mlp,88,DoS,0.00279562172885966,0.000535583168874507
ciciot2023,mlp,88,Mirai,0.0003718796179579029,0.00018004289707055287
ciciot2023,mlp,88,Recon,0.03167737539464213,0.0016388117280954522
ciciot2023,mlp,88,Spoofing,0.024528966087474267,0.0005481911947741035
ciciot2023,mlp,88,Web,0.009704063422326163,0.00014361072138018236
ciciot2023,mlp,91,Benign,0.016368818301377788,0.000501393136807048
ciciot2023,mlp,91,BruteForce,0.00629259374287541,9.506831087117379e-05
ciciot2023,mlp,91,DDoS,0.0035939370448971135,0.00021669780498395478
ciciot2023,mlp,91,DoS,0.0024745591083078014,0.00045485775150721835
ciciot2023,mlp,91,Mirai,0.0006521519454289603,9.064430209799778e-05
ciciot2023,mlp,91,Recon,0.03165564388499711,0.0007285214945723235
ciciot2023,mlp,91,Spoofing,0.02409716386049053,0.0007783147447249961
ciciot2023,mlp,91,Web,0.00950437224647272,0.00017071605013539362
ciciot2023,rf,12345,Benign,0.009560397880830875,0.0005384657417487179
ciciot2023,rf,12345,BruteForce,0.0036687173451342148,0.0010207457418072868
ciciot2023,rf,12345,DDoS,0.0004535062916034286,5.1358718733719207e-05
ciciot2023,rf,12345,DoS,0.00019711699271047527,0.00010156706216156687
ciciot2023,rf,12345,Mirai,5.4809306755892e-05,0.0001652210143473442
ciciot2023,rf,12345,Recon,0.01731873403339315,0.0012956536527915154
ciciot2023,rf,12345,Spoofing,0.01391339937688211,0.0023443687289608616
ciciot2023,rf,12345,Web,0.005994223012125446,0.0009597040881327913
ciciot2023,rf,1337,Benign,0.009523274402243518,0.0005903205055211062
ciciot2023,rf,1337,BruteForce,0.003655962493304298,0.0010074519807806305
ciciot2023,rf,1337,DDoS,0.000455699528102977,5.8391849906307384e-05
ciciot2023,rf,1337,DoS,0.00022253530057616684,9.434383317042652e-05
ciciot2023,rf,1337,Mirai,8.584469952230662e-05,0.00019038411495145898
ciciot2023,rf,1337,Recon,0.017228612474431443,0.001183825073588476
ciciot2023,rf,1337,Spoofing,0.013851515350218332,0.0026373593703992895
ciciot2023,rf,1337,Web,0.005984715216250003,0.0010348873017086754
ciciot2023,rf,2024,Benign,0.009449241269144768,0.00048694022139372627
ciciot2023,rf,2024,BruteForce,0.003592640390525861,0.001078400862975253
ciciot2023,rf,2024,DDoS,0.00044418656069260726,5.79639439872249e-05
ciciot2023,rf,2024,DoS,0.00020638314052347028,0.00011144680754299343
ciciot2023,rf,2024,Mirai,9.083041185119773e-05,0.00019102453854997738
ciciot2023,rf,2024,Recon,0.017259058471400558,0.0013784282126455937
ciciot2023,rf,2024,Spoofing,0.014000768842936641,0.0023613649385095907
ciciot2023,rf,2024,Web,0.005987364843890696,0.0011012778663663028
ciciot2023,rf,3407,Benign,0.009491614931831809,0.0005072803179142074
ciciot2023,rf,3407,BruteForce,0.0035780287548103375,0.0010284555526534648
ciciot2023,rf,3407,DDoS,0.00043253757688999854,3.924646497074501e-05
ciciot2023,rf,3407,DoS,0.00018951159368382628,7.487198315070924e-05
ciciot2023,rf,3407,Mirai,7.413273170486558e-05,0.00018314525226590552
ciciot2023,rf,3407,Recon,0.017293522209078132,0.0014118783382378348
ciciot2023,rf,3407,Spoofing,0.013970566972262946,0.002408649891389627
ciciot2023,rf,3407,Web,0.005979623071241245,0.0010517311780591319
ciciot2023,rf,42,Benign,0.009543072886717819,0.00047410092988326986
ciciot2023,rf,42,BruteForce,0.0036031847011517184,0.001001220778255106
ciciot2023,rf,42,DDoS,0.00044245462632081184,4.443984409767532e-05
ciciot2023,rf,42,DoS,0.00021307664274628228,0.0001054202600083063
ciciot2023,rf,42,Mirai,8.89084446457606e-05,0.00020898194469245857
ciciot2023,rf,42,Recon,0.017171814735760696,0.001615543888097676
ciciot2023,rf,42,Spoofing,0.013788756739386997,0.0026597776989270598
ciciot2023,rf,42,Web,0.005968781685134629,0.0010676215439596086
ciciot2023,rf,512,Benign,0.009515494673869047,0.0004551324161229845
ciciot2023,rf,512,BruteForce,0.003609083742938792,0.001043435790684341
ciciot2023,rf,512,DDoS,0.0004554202760797607,6.40021546553579e-05
ciciot2023,rf,512,DoS,0.00019509564675018322,0.00011778312688543916
ciciot2023,rf,512,Mirai,7.85157689111673e-05,0.00020065393200559907
ciciot2023,rf,512,Recon,0.017146039389679773,0.0013669817987552917
ciciot2023,rf,512,Spoofing,0.013849448388439517,0.0024778154448304264
ciciot2023,rf,512,Web,0.005953921241563411,0.0012700068740705292
ciciot2023,rf,6021,Benign,0.009479558313798262,0.0004773876381815933
ciciot2023,rf,6021,BruteForce,0.0036068881752113857,0.0011678560997853832
ciciot2023,rf,6021,DDoS,0.00042208563242833436,3.0312913415281892e-05
ciciot2023,rf,6021,DoS,0.00017388065262365622,9.709278980521493e-05
ciciot2023,rf,6021,Mirai,4.960943306978228e-05,0.0001593849376473942
ciciot2023,rf,6021,Recon,0.017270036970084005,0.0013338194222962886
ciciot2023,rf,6021,Spoofing,0.013806351501805765,0.002712855163757257
ciciot2023,rf,6021,Web,0.0059546974460188955,0.001058607358558886
ciciot2023,rf,7,Benign,0.009486977007808631,0.0004290390038221765
ciciot2023,rf,7,BruteForce,0.0035964243006905484,0.0012005639781126393
ciciot2023,rf,7,DDoS,0.0004574854467690319,7.66015594550175e-05
ciciot2023,rf,7,DoS,0.00020507721354313897,0.00011736979736374149
ciciot2023,rf,7,Mirai,8.560996996895237e-05,0.00021019471457117624
ciciot2023,rf,7,Recon,0.017181032126431607,0.0014074566069002402
ciciot2023,rf,7,Spoofing,0.01386365876697577,0.002545204097258609
ciciot2023,rf,7,Web,0.005941559592205428,0.0010047172483186942
ciciot2023,rf,88,Benign,0.009538751691866883,0.0004583397935173877
ciciot2023,rf,88,BruteForce,0.003639328088570918,0.001103696830478442
ciciot2023,rf,88,DDoS,0.000420194705767571,1.9683128186663542e-05
ciciot2023,rf,88,DoS,0.0001810045733097783,0.00011491375028213506
ciciot2023,rf,88,Mirai,6.337248997051891e-05,0.00015533574128312352
ciciot2023,rf,88,Recon,0.017244409523423217,0.0013608528011400884
ciciot2023,rf,88,Spoofing,0.013919001446130435,0.0026989055355833725
ciciot2023,rf,88,Web,0.006054591298898531,0.0009705894173106283
ciciot2023,rf,91,Benign,0.009573921036050639,0.0006917281091304503
ciciot2023,rf,91,BruteForce,0.0036497941553073846,0.0010681802574834835
ciciot2023,rf,91,DDoS,0.0004144655163926164,5.8326213748518516e-05
ciciot2023,rf,91,DoS,0.00019763056019531138,0.00010822615954158683
ciciot2023,rf,91,Mirai,5.458659246266689e-05,0.0001574882936360306
ciciot2023,rf,91,Recon,0.01729032734270243,0.0012331723421911593
ciciot2023,rf,91,Spoofing,0.013952219156262739,0.002699837429562125
ciciot2023,rf,91,Web,0.006041105630959507,0.0009886513846064124
ciciot2023,xgb,12345,Benign,0.008187326899544595,3.636472302859917e-05
ciciot2023,xgb,12345,BruteForce,0.003139358738242138,0.00044737595678721203
ciciot2023,xgb,12345,DDoS,0.0002289367423464312,3.3322968871340663e-05
ciciot2023,xgb,12345,DoS,0.0001467115392038343,4.078812594195907e-05
ciciot2023,xgb,12345,Mirai,2.24209668737253e-05,2.2563432206275405e-05
ciciot2023,xgb,12345,Recon,0.014878067316576453,0.000555198185910965
ciciot2023,xgb,12345,Spoofing,0.011798811057841776,0.0010128667383227559
ciciot2023,xgb,12345,Web,0.005520745936156897,0.00011020463215446933
ciciot2023,xgb,1337,Benign,0.008197211716336208,0.00016379837240117911
ciciot2023,xgb,1337,BruteForce,0.003189321033435736,0.00042273280483964425
ciciot2023,xgb,1337,DDoS,0.00023322980904330734,2.206505978745895e-05
ciciot2023,xgb,1337,DoS,0.0001485910433288587,2.2188265668411754e-05
ciciot2023,xgb,1337,Mirai,2.744437652208087e-05,2.4405647421322978e-05
ciciot2023,xgb,1337,Recon,0.014743131821977295,0.0005453168595954962
ciciot2023,xgb,1337,Spoofing,0.01171429529558644,0.0008307547831651708
ciciot2023,xgb,1337,Web,0.00547682072186205,6.0068599143235745e-05
ciciot2023,xgb,2024,Benign,0.008111676917988933,5.801143440911432e-05
ciciot2023,xgb,2024,BruteForce,0.003110483005773594,0.0004440433489614292
ciciot2023,xgb,2024,DDoS,0.00023615933440615956,2.533121144435037e-05
ciciot2023,xgb,2024,DoS,0.00014796551141624836,3.477666868204671e-05
ciciot2023,xgb,2024,Mirai,2.5855958632179475e-05,2.6252311899653815e-05
ciciot2023,xgb,2024,Recon,0.014782933896525144,0.0005086836308322377
ciciot2023,xgb,2024,Spoofing,0.011764377655679868,0.0010842388407424598
ciciot2023,xgb,2024,Web,0.005523277350818928,9.546062067604985e-05
ciciot2023,xgb,3407,Benign,0.008131230264946039,3.4252879306402826e-05
ciciot2023,xgb,3407,BruteForce,0.003107974284949274,0.00043058233922660226
ciciot2023,xgb,3407,DDoS,0.00023273772841465355,2.3216949584878295e-05
ciciot2023,xgb,3407,DoS,0.00014785342435652332,1.964240799265661e-05
ciciot2023,xgb,3407,Mirai,2.7734493446440175e-05,2.430210343791393e-05
ciciot2023,xgb,3407,Recon,0.014793917513142898,0.00040406053168025465
ciciot2023,xgb,3407,Spoofing,0.011802459429033393,0.0010877697284595717
ciciot2023,xgb,3407,Web,0.005503611027061791,9.602420359944903e-05
ciciot2023,xgb,42,Benign,0.00823118029423802,0.00013053322924012366
ciciot2023,xgb,42,BruteForce,0.0031856091701473067,0.00036910873455633497
ciciot2023,xgb,42,DDoS,0.0002402487573905561,2.177672956790279e-05
ciciot2023,xgb,42,DoS,0.0001537882329633612,1.8735465774993803e-05
ciciot2023,xgb,42,Mirai,2.6809476476351894e-05,2.5489987121604366e-05
ciciot2023,xgb,42,Recon,0.014796113905329658,0.0005384172703601481
ciciot2023,xgb,42,Spoofing,0.011729566591476219,0.0009065736176263942
ciciot2023,xgb,42,Web,0.005497574033820857,8.17686807339265e-05
ciciot2023,xgb,512,Benign,0.00815522048532978,0.0001426471353294725
ciciot2023,xgb,512,BruteForce,0.0031199637971165827,0.0003680443614367458
ciciot2023,xgb,512,DDoS,0.00022814272521865615,1.9605966653345174e-05
ciciot2023,xgb,512,DoS,0.00014675087014841932,2.265092164217522e-05
ciciot2023,xgb,512,Mirai,2.6288970175649158e-05,2.3862729061465302e-05
ciciot2023,xgb,512,Recon,0.014832881830732546,0.0005644904790026871
ciciot2023,xgb,512,Spoofing,0.01172595769789798,0.0011258615639929649
ciciot2023,xgb,512,Web,0.005455337466506955,6.177535971173995e-05
ciciot2023,xgb,6021,Benign,0.008205820531146948,6.147157380990991e-05
ciciot2023,xgb,6021,BruteForce,0.0031014474206101936,0.0003624294988224205
ciciot2023,xgb,6021,DDoS,0.00023490714287596054,1.3385803481798449e-05
ciciot2023,xgb,6021,DoS,0.00015422130547743546,3.9635582974812734e-05
ciciot2023,xgb,6021,Mirai,2.9039474284005307e-05,2.181324901207107e-05
ciciot2023,xgb,6021,Recon,0.014921453535519451,0.0006434966084934356
ciciot2023,xgb,6021,Spoofing,0.011782341340559253,0.0010517674301466935
ciciot2023,xgb,6021,Web,0.005515193617628682,8.859276186128988e-05
ciciot2023,xgb,7,Benign,0.008140058550043778,0.00014611686782569684
ciciot2023,xgb,7,BruteForce,0.003114007255368371,0.0004340567260609565
ciciot2023,xgb,7,DDoS,0.00023976204411910716,1.6484960482102954e-05
ciciot2023,xgb,7,DoS,0.00015548269635375512,8.396628978115612e-06
ciciot2023,xgb,7,Mirai,2.7901159658533176e-05,2.355755846350132e-05
ciciot2023,xgb,7,Recon,0.014746854856931176,0.0005308520722008636
ciciot2023,xgb,7,Spoofing,0.011676492055009827,0.0011071913517696791
ciciot2023,xgb,7,Web,0.005496533285508126,0.00017109974291561425
ciciot2023,xgb,88,Benign,0.008224564618351957,0.00010915477141607812
ciciot2023,xgb,88,BruteForce,0.0031476974283223586,0.00034479229509549417
ciciot2023,xgb,88,DDoS,0.0002408857131365937,3.375474632486646e-05
ciciot2023,xgb,88,DoS,0.0001544257110008864,1.33250305831235e-05
ciciot2023,xgb,88,Mirai,2.8188340679331634e-05,2.2907909492585718e-05
ciciot2023,xgb,88,Recon,0.0148386782510298,0.0004700049162197251
ciciot2023,xgb,88,Spoofing,0.011818026846851182,0.000996647769364085
ciciot2023,xgb,88,Web,0.005474682620856054,0.00014455273296451416
ciciot2023,xgb,91,Benign,0.008155039318559005,5.612281284334006e-05
ciciot2023,xgb,91,BruteForce,0.0031375777539653193,0.0004669815851581324
ciciot2023,xgb,91,DDoS,0.00023421911080514436,2.641055321081056e-05
ciciot2023,xgb,91,DoS,0.0001471838111778217,2.994738468677396e-05
ciciot2023,xgb,91,Mirai,2.826949325140075e-05,2.3480209703708546e-05
ciciot2023,xgb,91,Recon,0.014883372992978879,0.00043603364297574833
ciciot2023,xgb,91,Spoofing,0.011764062821349952,0.000838859305965141
ciciot2023,xgb,91,Web,0.005481082578759364,3.17825940242865e-05
