dataset,arch,seed,class,brier,ece
ciciot2023,mlp,12345,Benign,0.01646808522566058,0.0010049600410843066
ciciot2023,mlp,12345,BruteForce,0.006298376057225324,0.0002427404502074564
ciciot2023,mlp,12345,DDoS,0.006991719598015374,0.0006911572033882106
ciciot2023,mlp,12345,DoS,0.006053730381086702,0.00041583208709283814
ciciot2023,mlp,12345,Mirai,0.0006868017027946359,0.0002345466852627154
ciciot2023,mlp,12345,Recon,0.0316020397740306,0.0006573972611592862
ciciot2023,mlp,12345,Spoofing,0.024199152820162804,0.0006739003055152228
ciciot2023,mlp,12345,Web,0.009516418609401025,0.0005149266854640547
ciciot2023,mlp,1337,Benign,0.016776440217037416,0.00041989347647432225
ciciot2023,mlp,1337,BruteForce,0.006350317014167692,0.0001907298248442153
ciciot2023,mlp,1337,DDoS,0.007225483999858234,0.0010235931762627092
ciciot2023,mlp,1337,DoS,0.006184205337355236,0.0014410658163832592
ciciot2023,mlp,1337,Mirai,0.0007096282904743695,0.00016458902262512585
ciciot2023,mlp,1337,Recon,0.03212070239352087,0.0009663291942347407
ciciot2023,mlp,1337,Spoofing,0.024349006248390634,0.0007322110638952328
ciciot2023,mlp,1337,Web,0.0095229619529807,0.00022590157989551266
ciciot2023,mlp,2024,Benign,0.016851448680425832,0.0003020083337452881
ciciot2023,mlp,2024,BruteForce,0.006322155543337772,0.0005578623027009822
ciciot2023,mlp,2024,DDoS,0.007821762764168702,0.0009652383727057356
ciciot2023,mlp,2024,DoS,0.006967913516031563,0.00021079139046160968
ciciot2023,mlp,2024,Mirai,0.000691668847858896,0.00018075408408133978
ciciot2023,mlp,2024,Recon,0.0320315305370147,0.0007347245588220645
ciciot2023,mlp,2024,Spoofing,0.024280299658356406,0.0014327493827226184
ciciot2023,mlp,2024,Web,0.009552961487252955,4.45341936559142e-05
ciciot2023,mlp,3407,Benign,0.01663481279600914,0.001120459845121397
ciciot2023,mlp,3407,BruteForce,0.006292816315203853,9.509071100617586e-05
ciciot2023,mlp,3407,DDoS,0.005178934632274387,0.0004151480540781987
ciciot2023,mlp,3407,DoS,0.004038243034645784,0.00029688755634094376
ciciot2023,mlp,3407,Mirai,0.0005734639731771145,3.914798389266217e-05
ciciot2023,mlp,3407,Recon,0.0314384289204169,0.0006325811432253352
ciciot2023,mlp,3407,Spoofing,0.024228042062977847,0.0005656196626902915
ciciot2023,mlp,3407,Web,0.009100071235821886,0.0004702449389072743
ciciot2023,mlp,42,Benign,0.01698376531499448,0.00047882113064344207
ciciot2023,mlp,42,BruteForce,0.006398295833092017,0.000288644617327888
ciciot2023,mlp,42,DDoS,0.008271001806068212,0.0014149779049651753
ciciot2023,mlp,42,DoS,0.007249958463074645,0.0004974290216363343
