rung,coverage,S_sup,score_KS
0.0,0.3076,0.0,0.8005
0.25,0.2331,0.0,0.8364
0.5,0.1614,0.0,0.8729
0.75,0.0814,0.0,0.9144
1.0,0.0097,0.0,0.9716
