dataset,class,budget,TSC,SHC,gap,n_cal_TSC,n_cal_SHC
nslkdd,R2L,natural,0.9527369962880309,0.029015912368541005,0.9237210839194899,296.85,149.0
nslkdd,R2L,matched,0.9530469149747673,0.029015912368541005,0.9240310026062264,149.0,149.0
ugr16,nerisbotnet,natural,0.9495448856394728,0.9471269788807596,0.0024179067587132286,7505.046666666667,7500.0
ugr16,nerisbotnet,matched,0.9495023786088584,0.9471665586655782,0.0023358199432802484,7470.903333333334,7470.903333333334
ciciot2023,Web,natural,0.949646850140315,0.951510091278447,-0.0018632411381319658,3665.016666666667,2135.0
ciciot2023,Web,matched,0.9500327778971507,0.951510091278447,-0.001477313381296308,2135.0,2135.0
