dataset,realization,arch,seed,draw,ess,marg_unw,marg_ipw,focal_unw,focal_ipw,w_background,w_dos,w_nerisbotnet,w_scan11,w_scan44
ugr16,july_to_august,mlp,12345,0,59997.910660219764,0.9270833333333334,0.9271220021305525,0.9408495434696308,0.9408495434696309,1.0006003602161297,1.00080064051241,0.9924573243350535,0.9920634920634921,1.012555690562981
ugr16,july_to_august,mlp,12345,1,59998.68358848093,0.9289833333333334,0.9288727166972076,0.9432193318367886,0.9432193318367886,0.9995002498750625,0.9998666844420744,0.9903604912188037,1.008200026885334,1.0037473233404712
ugr16,july_to_august,mlp,12345,2,59996.67982198648,0.927,0.9271680045298004,0.9412634408602151,0.9412634408602151,1.0024057738572574,0.9941675503711559,1.0080645161290323,0.9830908375933936,1.0054967153773964
ugr16,july_to_august,mlp,12345,3,59995.95059919906,0.9292833333333334,0.9290584445185217,0.9452959830866807,0.9452959830866806,0.9994669509594883,0.9882724996705758,0.9910147991543341,1.01667344448963,1.0067114093959733
ugr16,july_to_august,mlp,12345,4,59997.618494184244,0.9266333333333333,0.9267875941624523,0.9405636436489916,0.9405636436489917,1.0048904669391037,0.9932459276916965,1.0017363429945239,0.986971969996052,0.998801438274071
ugr16,july_to_august,mlp,12345,5,59996.36077253295,0.9304833333333333,0.930370162235578,0.9488341105929381,0.9488341105929382,0.9953880354358141,0.9973404255319149,0.999333777481679,1.0024057738572574,1.0198531411476748
ugr16,july_to_august,mlp,12345,6,59994.486771691416,0.9273166666666667,0.9272883021844327,0.9455166075882894,0.9455166075882895,0.9976720984369805,1.0124190064794816,0.9846396218983852,0.9954871250331829,1.0175010175010175
ugr16,july_to_august,mlp,12345,7,59996.005276036805,0.92865,0.9285535020764636,0.9367473865290459,0.936747386529046,0.9973404255319149,0.996810207336523,0.9924573243350535,1.00080064051241,1.0211027910142956
ugr16,july_to_august,mlp,12345,8,59998.743531568536,0.92825,0.9282868065858946,0.9479097101642847,0.9479097101642847,0.9995002498750625,0.997473068227158,1.0017363429945239,0.9927200529450694,1.0102370689655171
ugr16,july_to_august,mlp,12345,9,59996.67929841024,0.9276,0.9278520401679407,0.9462236455831332,0.9462236455831332,1.0040160642570282,1.004823151125402,1.00080064051241,0.9815469179426777,0.997207818109294
