class,rung,SHC_mean,TSC_mean,diff,ci_lo,ci_hi,n_pairs
R2L,0.0,0.14309905517679566,0.9543536712174856,-0.8112546160406899,-0.8156815531338741,-0.8068787538141914,600
R2L,0.2,0.11388219108102873,0.9546935777098213,-0.8408113866287925,-0.8463440596439878,-0.8349893071873318,600
R2L,0.4,0.08480024541790837,0.9533125778530314,-0.8685123324351228,-0.8731886204785275,-0.8635455621179297,600
R2L,0.6,0.05815469433248713,0.9525559545077383,-0.8944012601752513,-0.8983723243024949,-0.8902231252303525,600
R2L,0.8,0.029818481411042926,0.9531460016555094,-0.9233275202444666,-0.9264263319241297,-0.9198816180999486,600
