rung,S_cov,S_sup,coverage,ci_lo,ci_hi
0.0,0.8485,0.001,0.1431,0.1284,0.1617
0.2,0.8571,0.1142,0.1139,0.1026,0.1286
0.4,0.8638,0.2276,0.0848,0.0763,0.0959
0.6,0.875,0.3407,0.0582,0.0522,0.0662
0.8,0.8927,0.4543,0.0298,0.0267,0.0339
