alpha,q_source,coverage,gap_to_one,set_size,frac_full_set,nominal,shortfall
0.01,0.9999985981900193,0.8405892547660312,1.4018099807167062e-06,2.9792374350086654,0.0022530329289428075,0.99,0.1494107452339688
0.05,0.9882148104321651,0.14138648180242636,0.011785189567835008,2.1538648180242634,0.0,0.95,0.8086135181975735
0.1,0.932683452690028,0.10076256499133449,0.06731654730997196,2.0472443674176777,0.0,0.9,0.7992374350086655
0.2,0.8256674510211097,0.06017331022530329,0.17433254897889033,1.2680415944540728,0.0,0.8,0.7398266897746968
