threshold,flagged,recall,precision,specificity,false_alarms,tp,fn,tn
0.4,14,1.0,0.42857142857142855,0.38461538461538464,8,6,0,5
0.5,13,1.0,0.46153846153846156,0.46153846153846156,7,6,0,6
0.6,10,0.8333333333333334,0.5,0.6153846153846154,5,5,1,8
0.7,7,0.6666666666666666,0.5714285714285714,0.7692307692307693,3,4,2,10
0.8,6,0.6666666666666666,0.6666666666666666,0.8461538461538461,2,4,2,11
0.9,4,0.5,0.75,0.9230769230769231,1,3,3,12
