dataset,realization,seed,arch,protocol,class,alpha,coverage,set_size,nominal
cicids2017,R1_holdout_Slowhttptest,42,xgb,TSC,DoS,0.1,0.9019,0.9297,0.9
cicids2017,R1_holdout_Slowhttptest,42,xgb,TSC,Benign,0.2,0.7995,0.7995,0.8
cicids2017,R1_holdout_Slowhttptest,42,xgb,TSC,DoS,0.2,0.7959,0.8208,0.8
cicids2017,R1_holdout_Slowhttptest,42,xgb,SHC,Benign,0.05,0.9496,0.9498,0.95
cicids2017,R1_holdout_Slowhttptest,42,xgb,SHC,DoS,0.05,0.9265,0.9556,0.95
cicids2017,R1_holdout_Slowhttptest,42,xgb,SHC,Benign,0.1,0.9002,0.9003,0.9
cicids2017,R1_holdout_Slowhttptest,42,xgb,SHC,DoS,0.1,0.8739,0.9016,0.9
cicids2017,R1_holdout_Slowhttptest,42,xgb,SHC,Benign,0.2,0.7997,0.7998,0.8
cicids2017,R1_holdout_Slowhttptest,42,xgb,SHC,DoS,0.2,0.7782,0.8031,0.8
cicids2017,R1_holdout_Slowhttptest,42,mlp,REC,Benign,0.05,0.9507,1.001,0.95
cicids2017,R1_holdout_Slowhttptest,42,mlp,REC,DoS,0.05,0.9499,1.2775,0.95
cicids2017,R1_holdout_Slowhttptest,42,mlp,REC,Benign,0.1,0.901,0.9216,0.9
cicids2017,R1_holdout_Slowhttptest,42,mlp,REC,DoS,0.1,0.9027,1.2194,0.9
cicids2017,R1_holdout_Slowhttptest,42,mlp,REC,Benign,0.2,0.8011,0.8021,0.8
cicids2017,R1_holdout_Slowhttptest,42,mlp,REC,DoS,0.2,0.8009,1.0809,0.8
cicids2017,R1_holdout_Slowhttptest,42,mlp,TSC,Benign,0.05,0.9507,1.1913,0.95
cicids2017,R1_holdout_Slowhttptest,42,mlp,TSC,DoS,0.05,0.9573,1.2847,0.95
cicids2017,R1_holdout_Slowhttptest,42,mlp,TSC,Benign,0.1,0.9008,0.9229,0.9
cicids2017,R1_holdout_Slowhttptest,42,mlp,TSC,DoS,0.1,0.9053,1.2219,0.9
cicids2017,R1_holdout_Slowhttptest,42,mlp,TSC,Benign,0.2,0.8014,0.8024,0.8
cicids2017,R1_holdout_Slowhttptest,42,mlp,TSC,DoS,0.2,0.8014,1.0817,0.8
cicids2017,R1_holdout_Slowhttptest,42,mlp,SHC,Benign,0.05,0.9502,0.9508,0.95
cicids2017,R1_holdout_Slowhttptest,42,mlp,SHC,DoS,0.05,0.7151,1.0426,0.95
cicids2017,R1_holdout_Slowhttptest,42,mlp,SHC,Benign,0.1,0.8994,0.8995,0.9
cicids2017,R1_holdout_Slowhttptest,42,mlp,SHC,DoS,0.1,0.6054,0.9216,0.9
cicids2017,R1_holdout_Slowhttptest,42,mlp,SHC,Benign,0.2,0.7996,0.7998,0.8
cicids2017,R1_holdout_Slowhttptest,42,mlp,SHC,DoS,0.2,0.535,0.8143,0.8
cicids2017,R1_holdout_Slowhttptest,1337,rf,REC,Benign,0.05,0.9492,0.9498,0.95
cicids2017,R1_holdout_Slowhttptest,1337,rf,REC,DoS,0.05,0.9538,1.1926,0.95
cicids2017,R1_holdout_Slowhttptest,1337,rf,REC,Benign,0.1,0.8994,0.8995,0.9
cicids2017,R1_holdout_Slowhttptest,1337,rf,REC,DoS,0.1,0.9034,1.1333,0.9
cicids2017,R1_holdout_Slowhttptest,1337,rf,REC,Benign,0.2,0.8,0.8002,0.8
cicids2017,R1_holdout_Slowhttptest,1337,rf,REC,DoS,0.2,0.7982,1.0094,0.8
cicids2017,R1_holdout_Slowhttptest,1337,rf,TSC,Benign,0.05,0.9497,0.9504,0.95
cicids2017,R1_holdout_Slowhttptest,1337,rf,TSC,DoS,0.05,0.9564,1.1952,0.95
cicids2017,R1_holdout_Slowhttptest,1337,rf,TSC,Benign,0.1,0.9001,0.9002,0.9
cicids2017,R1_holdout_Slowhttptest,1337,rf,TSC,DoS,0.1,0.9017,1.1316,0.9
cicids2017,R1_holdout_Slowhttptest,1337,rf,TSC,Benign,0.2,0.8005,0.8006,0.8
cicids2017,R1_holdout_Slowhttptest,1337,rf,TSC,DoS,0.2,0.7991,1.0105,0.8
cicids2017,R1_holdout_Slowhttptest,1337,rf,SHC,Benign,0.05,0.95,0.9502,0.95
cicids2017,R1_holdout_Slowhttptest,1337,rf,SHC,DoS,0.05,0.9018,1.1408,0.95
cicids2017,R1_holdout_Slowhttptest,1337,rf,SHC,Benign,0.1,0.9002,0.9003,0.9
cicids2017,R1_holdout_Slowhttptest,1337,rf,SHC,DoS,0.1,0.83,1.0599,0.9
cicids2017,R1_holdout_Slowhttptest,1337,rf,SHC,Benign,0.2,0.8003,0.8004,0.8
cicids2017,R1_holdout_Slowhttptest,1337,rf,SHC,DoS,0.2,0.7022,0.9132,0.8
cicids2017,R1_holdout_Slowhttptest,1337,xgb,REC,Benign,0.05,0.9499,0.9501,0.95
cicids2017,R1_holdout_Slowhttptest,1337,xgb,REC,DoS,0.05,0.9505,0.9776,0.95
cicids2017,R1_holdout_Slowhttptest,1337,xgb,REC,Benign,0.1,0.8998,0.8999,0.9
cicids2017,R1_holdout_Slowhttptest,1337,xgb,REC,DoS,0.1,0.8971,0.9227,0.9
cicids2017,R1_holdout_Slowhttptest,1337,xgb,REC,Benign,0.2,0.7996,0.7997,0.8
cicids2017,R1_holdout_Slowhttptest,1337,xgb,REC,DoS,0.2,0.7888,0.8118,0.8
cicids2017,R1_holdout_Slowhttptest,1337,xgb,TSC,Benign,0.05,0.9508,0.951,0.95
cicids2017,R1_holdout_Slowhttptest,1337,xgb,TSC,DoS,0.05,0.9572,0.9841,0.95
