arch,seed,macro_f1_raw,macro_f1_cal,argmax_changed,ece_before,ece_after
rf,42,0.4990684182708705,0.535444252241339,0.016101845280340667,0.1772243313252673,0.21657860459005027
rf,1337,0.5079889988221573,0.5337398394584191,0.01738821859474805,0.17069493484346665,0.2138958490562614
rf,2024,0.5048032997871422,0.5273524141478652,0.01592441447835344,0.1753129400565526,0.21733579155308516
rf,7,0.5060617821755946,0.5406905645057645,0.013085521646557843,0.1722138318106203,0.21158820575124274
rf,91,0.5086650094915625,0.5420854221236009,0.018940738112136268,0.17302918314238402,0.20522670946240892
rf,512,0.5049732424309193,0.5198904351946377,0.015436479772888574,0.17709377898505824,0.21700518945073682
rf,6021,0.500958804237355,0.5432688703756511,0.02151348474095103,0.17477300580452196,0.21068065217898532
rf,88,0.5070833732039901,0.5344240234523934,0.0191625266146203,0.17497980738900717,0.21393602407111612
rf,3407,0.5083705965685908,0.5373359389473589,0.010956352022711143,0.17059858123420493,0.216311349059025
rf,12345,0.49778322465252633,0.5337119600880567,0.02115862313697658,0.17497362934705465,0.21990875471508012
xgb,42,0.534037925044702,0.5341247320051796,0.0031493967352732434,0.2133370962779179,0.21537640710368575
xgb,1337,0.5293457288199911,0.5351331068061869,0.01286373314407381,0.21780356601134443,0.21679007785224252
xgb,2024,0.5454611052337356,0.549673758367694,0.01029098651525905,0.20783250839459377,0.20745724455220133
xgb,7,0.5462607462479402,0.5468979331165877,0.0099361249112846,0.20353888412785498,0.20617935160073173
xgb,91,0.5432994388744,0.5602987732581691,0.008161816891412349,0.2065542810659319,0.20542106695996695
xgb,512,0.5435862252524959,0.5491820280396305,0.0046132008516678496,0.20985613110547294,0.21077951753209292
xgb,6021,0.5485344957173234,0.5599043901056258,0.005766501064584812,0.2103208538284955,0.20755452853597756
xgb,88,0.544709567995674,0.5529899469046274,0.008782824698367636,0.209968907075139,0.2102969624683779
xgb,3407,0.5431752569884953,0.5743739063128974,0.010601490418736693,0.20695559865801028,0.20657567807583627
xgb,12345,0.5507071668650548,0.5461686418068831,0.005367281760113556,0.20695530085158825,0.20891772735681496
mlp,42,0.5555744359384335,0.5536156879219882,0.004834989354151881,0.23655534009240983,0.23431262287203516
mlp,1337,0.5597777509778301,0.5531150342876404,0.005544712562100781,0.22368716784588327,0.23029246154810373
mlp,2024,0.5523838474869469,0.5541563465174828,0.00731902058197303,0.2345637815526566,0.22927349855537701
mlp,7,0.5708174955676422,0.5728356637942839,0.004790631653655075,0.21067717952443574,0.20978426835992134
mlp,91,0.56459549974969,0.5726154643411381,0.015613910574875798,0.21508251864005695,0.2073320981123035
mlp,512,0.5621784743832363,0.5652380350337761,0.010202271114265436,0.20898013754970562,0.20665171245645764
mlp,6021,0.6140392496882832,0.5841358151059795,0.013839602555003548,0.20634699327840797,0.227147906508384
mlp,88,0.5296301889148533,0.5473220108079118,0.008117459190915543,0.2128938982928155,0.22197843363906494
mlp,3407,0.5345401502114131,0.5360847257780802,0.00319375443577005,0.22748145424860686,0.2271293619445362
mlp,12345,0.5490863037063675,0.5566600880612387,0.009980482611781406,0.21259024071938776,0.20456901855497092
