dataset,arch,seed,toplabel_ece
ciciot2023,mlp,12345,0.0018000035715635223
ciciot2023,mlp,1337,0.0016933718381642385
ciciot2023,mlp,2024,0.0015091816871585912
ciciot2023,mlp,3407,0.0013160348011686457
ciciot2023,mlp,42,0.0016990157672850765
ciciot2023,mlp,512,0.0009935057696621996
ciciot2023,mlp,6021,0.001074367990070188
ciciot2023,mlp,7,0.0013732311717381614
ciciot2023,mlp,88,0.0011753471835194151
ciciot2023,mlp,91,0.000851863448239263
ciciot2023,rf,12345,0.001973502662530724
ciciot2023,rf,1337,0.0018408482520297078
ciciot2023,rf,2024,0.0022309863993576445
ciciot2023,rf,3407,0.0018238754579354328
ciciot2023,rf,42,0.0020770445571711496
ciciot2023,rf,512,0.0022906180402157104
ciciot2023,rf,6021,0.0020221550159486234
ciciot2023,rf,7,0.002453846352156124
ciciot2023,rf,88,0.0022152681203550604
ciciot2023,rf,91,0.0023353593783403057
ciciot2023,xgb,12345,0.000578712511251462
ciciot2023,xgb,1337,0.00038001158517398623
ciciot2023,xgb,2024,0.0007195960227203571
ciciot2023,xgb,3407,0.000685043685819148
ciciot2023,xgb,42,0.0007216038288907924
ciciot2023,xgb,512,0.00035755557305472424
ciciot2023,xgb,6021,0.0008029916368832661
ciciot2023,xgb,7,0.00017823809374704672
ciciot2023,xgb,88,0.000312686789510818
ciciot2023,xgb,91,0.000702217553634981
