dataset,class,signed_displacement_at_q,calibration_slack,undercoverage,KS_two_sided,one_sided_up,one_sided_down,tail_mass_above_q_target,quantile_displacement,frac_of_KS_realised_at_q,direction,reconstructed
ciciot2023,Benign,0.0009328633573681115,-0.0002301952690903867,0.0007026680882777248,0.017974156180849698,0.016609568157448955,0.00903742008335312,0.05070266808827777,0.00022223173826927696,0.1824859960876924,neutral,0.0007026680882777248
ciciot2023,BruteForce,-0.004371886038446562,-0.0011305616338439517,-0.005502447672290514,0.03939844771263671,0.02630643917983112,0.031248608487904967,0.04449755232770953,-0.0016276191096597724,0.22426342647016828,neutral,-0.005502447672290514
ciciot2023,DDoS,-2.865394830441718e-06,-0.046496095955760694,-0.04649896135059114,0.002172911132202407,0.0013352682857248604,0.0016516147716262553,0.003501038649408906,0.0,0.20690683927214606,neutral,-0.04649896135059114
ciciot2023,DoS,0.00019758415282979133,-0.04099213431158707,-0.04079455015875728,0.004391087771742191,0.003366323289072771,0.002476937030529285,0.009205449841242762,-1.3728936512820886e-08,0.23136041911905106,neutral,-0.04079455015875728
ciciot2023,Mirai,-0.00025280994821158455,-0.04808649466223468,-0.048339304610446256,0.002221726033387142,0.0016931411584580809,0.0012778217115887846,0.0016606953895537836,0.0,0.2723433023197236,neutral,-0.04833930461044626
ciciot2023,Recon,-0.0015294244832865234,-7.879707944770479e-05,-0.001608221562734228,0.008974541770902204,0.0087203193912517,0.004329514908302575,0.04839177843726581,-0.017517783155044202,0.2845079918774534,neutral,-0.001608221562734228
ciciot2023,Spoofing,-0.00248997467564267,-0.00014446653412858446,-0.0026344412097712546,0.015558896285343057,0.008760209308958915,0.012038535241513527,0.047365558790228794,-0.007075900565833065,0.2766961386938561,neutral,-0.0026344412097712546
ciciot2023,Web,7.573460545903835e-05,-0.0008196721311475308,-0.0007439375256884925,0.08929865019525629,0.03199780150179374,0.08682301415644182,0.04925606247431155,-0.0008953304992367824,0.1208406100224336,neutral,-0.0007439375256884925
nslkdd,DoS,0.6716181426804675,-0.04777422944791219,0.6238439132325554,0.672972314985467,0.672972314985467,0.12702791082298867,0.6738439132325553,0.5000047560820431,0.9979214583327757,harmful,0.6238439132325553
nslkdd,Normal,0.025660622848122844,-0.04798039798039801,-0.022319775132275163,0.049630674630674616,0.04787383537383536,0.008653471465971466,0.02768022486772488,0.0,0.6784826694255381,harmful,-0.022319775132275163
nslkdd,Probe,0.4866804251661934,-0.04519450800915336,0.44148591715704005,0.48684549798175375,0.48681172617495766,0.19212070278956012,0.49148591715704015,0.4999913563623626,0.9996335714671742,harmful,0.44148591715704005
nslkdd,R2L,0.9446096597410916,-0.017561521252796447,0.9270481384882951,0.9511329610574577,0.9511329610574577,0.001855428745809059,0.9770481384882951,0.3407201174729656,0.993102586503065,harmful,0.9270481384882951
ugr16,background,-0.0013397777777777657,-0.04147888888888895,-0.042818666666666706,0.05057416666666667,0.04786861111111111,0.005438888888888891,0.007181333333333332,0.0,0.0822137748565753,neutral,-0.04281866666666671
ugr16,dos,-4.88888888888761e-06,-0.04999111111111116,-0.04999600000000005,0.008320222222222224,0.005939333333333336,0.005877555555555555,4.0000000000003e-06,0.0,0.0009138718233167884,neutral,-0.04999600000000005
ugr16,nerisbotnet,0.004475333333333335,-0.033480000000000044,-0.029004666666666713,0.08851844444444443,0.03702155555555555,0.053655999999999975,0.02099533333333333,6.95632497277369e-05,0.047655882656939576,neutral,-0.02900466666666671
ugr16,scan11,0.48502466666666666,-0.029786666666666704,0.4552379999999999,0.4994928888888889,0.4994928888888889,0.003992444444444447,0.505238,0.39034584376650305,0.9555464518015817,harmful,0.455238
ugr16,scan44,0.16937088888888888,-0.022915555555555585,0.14645533333333327,0.18973044444444445,0.18973044444444445,0.07233422222222223,0.19645533333333332,0.25946946196662224,0.8675263899350469,harmful,0.1464553333333333
