rung,realization,ess_marginal,n_eval,w_Normal,w_DoS,w_Probe,w_R2L,w_U2R
0.0,0,2040.8169128132783,2334,1.2378863660421298,1.100914600704879,0.8637307081613211,0.06176563988567799,0.17294379167989837
0.0,1,2038.960504394501,2332,1.2368256236547759,1.102824591615425,0.8629905790197947,0.06171271303059172,0.17279559648565682
0.0,2,2039.3365285909601,2333,1.2373559948484527,1.1018683591194067,0.8668279554122067,0.06173917645813485,0.14405807840231466
0.0,3,2040.81398623956,2333,1.2373559948484527,1.1004429149290842,0.863360643590558,0.061947052473145414,0.17286969408277758
0.0,4,2040.8359691381474,2335,1.2384167372358068,1.1013862864806736,0.8641007727320843,0.06179210331322113,0.14418157439751597
0.0,5,2040.830096115366,2333,1.2373559948484527,1.1004429149290842,0.863360643590558,0.062156333055824964,0.14405807840231466
0.0,6,2039.889488583536,2333,1.2373559948484527,1.1018683591194067,0.863360643590558,0.06173917645813485,0.17286969408277758
0.0,7,2039.5467673582623,2334,1.2378863660421298,1.1037704103046322,0.8602895499614751,0.06176563988567799,0.14411982639991533
0.0,8,2040.8330425097752,2334,1.2378863660421298,1.100914600704879,0.8637307081613211,0.061973605003138185,0.14411982639991533
0.0,9,2040.8169128132783,2334,1.2378863660421298,1.100914600704879,0.8637307081613211,0.06176563988567799,0.17294379167989837
0.0,10,2040.8330425097752,2334,1.2378863660421298,1.100914600704879,0.8637307081613211,0.061973605003138185,0.14411982639991533
0.0,11,2041.3822488215992,2334,1.2378863660421298,1.100914600704879,0.8602895499614751,0.061973605003138185,0.17294379167989837
0.0,12,2040.8169128132783,2334,1.2378863660421298,1.100914600704879,0.8637307081613211,0.06176563988567799,0.17294379167989837
0.0,13,2040.8359691381474,2335,1.2384167372358068,1.1013862864806736,0.8641007727320843,0.06179210331322113,0.14418157439751597
0.0,14,2040.47628596811,2335,1.2384167372358068,1.1028129526548713,0.8606581401713986,0.06179210331322113,0.14418157439751597
0.0,15,2041.761854629319,2336,1.2389471084294839,1.1004343831450258,0.8644708373028475,0.06181856674076426,0.1442433223951166
0.0,16,2040.47628596811,2335,1.2384167372358068,1.1028129526548713,0.8606581401713986,0.06179210331322113,0.14418157439751597
0.0,17,2039.889488583536,2333,1.2373559948484527,1.1018683591194067,0.863360643590558,0.06173917645813485,0.17286969408277758
0.0,18,2039.8865646691029,2332,1.2368256236547759,1.1013960623516745,0.8629905790197947,0.061920499943152636,0.17279559648565682
0.0,19,2039.889488583536,2333,1.2373559948484527,1.1018683591194067,0.863360643590558,0.06173917645813485,0.17286969408277758
0.2,0,2039.9056036234206,2333,1.2373559948484527,1.1018683591194067,0.863360643590558,0.061947052473145414,0.14405807840231466
0.2,1,2040.2444043397295,2333,1.2373559948484527,1.1004429149290842,0.8668279554122067,0.06173917645813485,0.17286969408277758
0.2,2,2040.8169128132783,2334,1.2378863660421298,1.100914600704879,0.8637307081613211,0.06176563988567799,0.17294379167989837
0.2,3,2038.3890368544664,2331,1.2362952524610986,1.1023516822708215,0.8660848538644894,0.06168624960304859,0.17272149888853605
0.2,4,2040.8330425097752,2334,1.2378863660421298,1.100914600704879,0.8637307081613211,0.061973605003138185,0.14411982639991533
0.2,5,2039.8836210069592,2331,1.2362952524610986,1.1009237655839421,0.8626205144490314,0.06210304858685297,0.17272149888853605
0.2,6,2042.3335565937896,2338,1.2400078508168377,1.1013765358703214,0.8617639108011692,0.0616645655236236,0.1443668183903179
0.2,7,2039.4991873824624,2332,1.2368256236547759,1.102824591615425,0.8595523695416282,0.06171271303059172,0.215994495607071
0.2,8,2039.3145779828299,2331,1.2362952524610986,1.1009237655839421,0.8660848538644894,0.061893947413159865,0.17272149888853605
0.2,9,2040.7854025014956,2332,1.2368256236547759,1.0999712291532895,0.8629905790197947,0.061920499943152636,0.215994495607071
0.2,10,2040.833042509775,2334,1.2378863660421298,1.100914600704879,0.8637307081613211,0.061973605003138185,0.14411982639991533
