variant,rho,auroc
rank: score drift (nb46 monitor),0.23145161738615816,0.9
rank: confidence shift,0.27504340182660053,0.9
rank: entropy shift,0.20342832738873096,0.7846153846153846
ABSOLUTE: score drift z,0.7770897832817338,0.9692307692307692
ABSOLUTE: confidence z,0.696594427244582,0.9076923076923077
"ABSOLUTE: max(z_drift, z_conf)",0.7956656346749225,0.9692307692307692
