dataset,class,est_share,true_share,source_share,abs_error,S_cov_class,coverage,undercoverage
nslkdd,Normal,0.6569355024022385,0.43075762952448543,0.5346141632264211,0.2261778728777531,0.7886484070931091,0.9268402777777776,0.0231597222222222
nslkdd,DoS,0.26539456261285277,0.3309084457061746,0.36461310468931935,0.06551388309332185,0.9594616991154704,0.3987637893308937,0.5512362106691062
nslkdd,Probe,0.0776698761582797,0.10738999290276792,0.09251614269080131,0.029720116744488226,0.9794491316297294,0.6278059099362795,0.3221940900637204
nslkdd,R2L,0.0,0.12797196593328602,0.007886101407854345,0.12797196593328602,0.9905057471264368,0.0298184814110428,0.920181518588957
ugr16,background,0.5001612540306626,0.4993166666666667,0.50055,0.0008445873639958967,0.669629675,0.94915,0.00085
ugr16,dos,0.1269507501099473,0.12663333333333332,0.12665,0.0003174167766139824,0.5423572888888889,0.9503233333333332,-0.0003233333333333
ugr16,nerisbotnet,0.12286610873434953,0.12465,0.124625,0.0017838912656504696,0.5781515555555556,0.9472833333333334,0.0027166666666665
ugr16,scan11,0.08012614917587658,0.12616666666666668,0.123825,0.04604051749079009,0.9996772,0.5350233333333333,0.4149766666666666
ugr16,scan44,0.1698957379491641,0.12323333333333333,0.12435,0.046662404615830766,0.98606,0.7990233333333333,0.1509766666666666
ciciot2023,Benign,0.039963670573068294,0.03958333333333333,0.041625,0.0003803372397349625,0.4918960883002922,0.9505799641726635,-0.0005799641726637
ciciot2023,BruteForce,0.009134389482278226,0.00865,0.00875,0.00048438948227822604,0.5097513888956161,0.955812900581842,-0.0058129005818419
ciciot2023,DDoS,0.42835902919547697,0.42756666666666665,0.43345,0.0007923625288103198,0.49486861875,0.9500033294205956,-3.3294205956657663e-06
ciciot2023,DoS,0.15951226547388142,0.15955,0.15665,3.773452611857686e-05,0.49936338125,0.949861224782922,0.000138775217078
ciciot2023,Mirai,0.1168833966323125,0.11698333333333333,0.12015,9.993670102083352e-05,0.4958027531121151,0.950362697674883,-0.000362697674883
ciciot2023,Recon,0.13766542949496285,0.14385,0.145625,0.006184570505037151,0.50253955625,0.9497292995008668,0.0002707004991331
ciciot2023,Spoofing,0.07709858783064857,0.07938333333333333,0.07995,0.0022847455026847596,0.498442996098953,0.9528379475048356,-0.0028379475048357
ciciot2023,Web,0.031383231317371155,0.024433333333333335,0.0138,0.00694989798403782,0.6535553861426323,0.9519120427455816,-0.0019120427455815
cicids2017,Benign,0.9912104195595469,0.9888166666666667,0.475125,0.002393752892880241,0.4991750387500001,0.9500806666666668,-8.066666666672884e-05
cicids2017,DoS,0.008789580440453172,0.011183333333333333,0.524875,0.002393752892880161,0.9996698237137692,0.6038966666666667,0.3461033333333332
