rung,realization,n_eval,n_tcal,unseen_frac_eval,unseen_frac_focal,subtypes_used,S_cov,above_null,S_lab,S_sup,S_sup_focal
0.0,0,2334,2334,0.0012853470437017994,0.0,"{""Normal"": [""<exempt>""], ""U2R"": [""<exempt>""]}",0.85158125,True,0.13615957297143882,0.001713796058269066,0.003355704697986577
0.0,1,2332,2332,0.0008576329331046312,0.0,"{""Normal"": [""<exempt>""], ""U2R"": [""<exempt>""]}",0.8431918750000001,True,0.13636277391917098,0.0008576329331046312,0.0
0.0,2,2333,2333,0.0,0.0,"{""Normal"": [""<exempt>""], ""U2R"": [""<exempt>""]}",0.840319375,True,0.13626112989602335,0.0,0.0
0.0,3,2333,2333,0.0008572653236176596,0.0,"{""Normal"": [""<exempt>""], ""U2R"": [""<exempt>""]}",0.84903125,True,0.1358324972342145,0.0012858979854264896,0.003367003367003367
0.0,4,2335,2335,0.0008565310492505353,0.0,"{""Normal"": [""<exempt>""], ""U2R"": [""<exempt>""]}",0.8479175,True,0.13648636855813873,0.001284796573875803,0.003355704697986577
0.0,5,2333,2333,0.0008572653236176596,0.0,"{""Normal"": [""<exempt>""], ""U2R"": [""<exempt>""]}",0.8597781250000001,True,0.13583249723421448,0.0012858979854264896,0.0033783783783783786
0.0,6,2333,2333,0.0004286326618088298,0.0,"{""Normal"": [""<exempt>""], ""U2R"": [""<exempt>""]}",0.8426293749999999,True,0.13626112989602335,0.0008572653236176596,0.0
0.0,7,2334,2334,0.000856898029134533,0.0,"{""Normal"": [""<exempt>""], ""U2R"": [""<exempt>""]}",0.8450562499999998,True,0.13701647100057335,0.000856898029134533,0.0
0.0,8,2334,2334,0.000856898029134533,0.0,"{""Normal"": [""<exempt>""], ""U2R"": [""<exempt>""]}",0.8563368749999999,True,0.13615957297143882,0.000856898029134533,0.0
0.0,9,2334,2334,0.0,0.0,"{""Normal"": [""<exempt>""], ""U2R"": [""<exempt>""]}",0.848266875,True,0.13615957297143882,0.000856898029134533,0.003355704697986577
0.0,10,2334,2334,0.000856898029134533,0.0,"{""Normal"": [""<exempt>""], ""U2R"": [""<exempt>""]}",0.844083125,True,0.13615957297143882,0.0012853470437017994,0.003367003367003367
0.0,11,2334,2334,0.0004284490145672665,0.0,"{""Normal"": [""<exempt>""], ""U2R"": [""<exempt>""]}",0.856716875,True,0.13615957297143882,0.000856898029134533,0.003367003367003367
0.0,12,2334,2334,0.000856898029134533,0.0,"{""Normal"": [""<exempt>""], ""U2R"": [""<exempt>""]}",0.84428,True,0.13615957297143882,0.0012853470437017994,0.0
0.0,13,2335,2335,0.001284796573875803,0.0,"{""Normal"": [""<exempt>""], ""U2R"": [""<exempt>""]}",0.84378,True,0.13648636855813873,0.001284796573875803,0.0
