dataset,focal_class,alpha,nominal,REC,TSC,SHC,focal_gap_TSC_minus_SHC,SHC_undercovers
"nslkdd (R2L, rung0.80)",R2L,0.05,0.95,0.9563,0.9531,0.0298,0.9233,True
"nslkdd (R2L, rung0.80)",R2L,0.1,0.9,0.9057,0.9026,0.0231,0.8795,True
"nslkdd (R2L, rung0.80)",R2L,0.2,0.8,0.8046,0.8036,0.0168,0.7868,True
cicids2017 (DoS),DoS,0.05,0.95,0.9875,0.9876,0.6039,0.3837,True
cicids2017 (DoS),DoS,0.1,0.9,0.9731,0.9732,0.5565,0.4167,True
cicids2017 (DoS),DoS,0.2,0.8,0.9297,0.9295,0.4786,0.4509,True
ugr16 (nerisbotnet),nerisbotnet,0.05,0.95,0.9499,0.9497,0.9473,0.0024,False
ugr16 (nerisbotnet),nerisbotnet,0.1,0.9,0.8999,0.8997,0.8953,0.0044,False
ugr16 (nerisbotnet),nerisbotnet,0.2,0.8,0.8,0.7997,0.7904,0.0092,False
