oracle,hard,soft,topq,n_true,n_pred,misroute,dataset,class,coverage,undercoverage,gap
0.7840845443369726,0.8393434961722616,0.8346342504959707,0.8121043222834097,9711,13633,0.024611265575120944,nslkdd,Normal,0.9268402777777776,0.0231597222222222,0.05054970615899812
0.9601139039329659,0.9525337101039218,0.9422020089416361,0.9487036473860982,7460,6394,0.19276139410187665,nslkdd,DoS,0.3987637893308937,0.5512362106691062,0.017911894991329835
0.9791637682006901,0.9752456862171803,0.9599657255822409,0.9779145196187358,2421,2230,0.30565881866997113,nslkdd,Probe,0.6278059099362795,0.3221940900637204,0.01919804261844915
0.9959923371647509,0.9897164750957854,0.961097867136186,0.9894789272030652,2885,279,0.9088388214904679,nslkdd,R2L,0.0298184814110428,0.920181518588957,0.03489447002856494
0.66774895,0.6978538437500001,0.6977378247814638,0.87548314375,200000,221707,0.013604999999999978,ugr16,background,0.94915,0.00085,0.029988874781463837
0.5356611111111111,0.5344795999999999,0.5429290766247339,0.5981015999999999,50000,50192,0.0,ugr16,dos,0.9503233333333332,-0.0003233333333333,0.007267965513622743
0.5777506222222222,0.7577231555555555,0.7143770827848327,0.7560116888888888,50000,26695,0.48663999999999996,ugr16,nerisbotnet,0.9472833333333334,0.0027166666666665,0.13662646056261052
0.9997475111111112,0.998105111111111,0.9815609180899489,0.9979165333333333,50000,40499,0.51664,ugr16,scan11,0.5350233333333333,0.4149766666666666,0.018186593021162212
0.9844033333333334,0.9909195555555556,0.9571804829500639,0.9960295555555554,50000,60907,0.31658,ugr16,scan44,0.7990233333333333,0.1509766666666666,0.027222850383269548
0.4933675820812248,0.6775658427375304,0.6644508004174691,0.7772292506300316,17999,17247,0.3132396244235791,ciciot2023,Benign,0.9505799641726635,-0.0005799641726637,0.1710832183362443
0.4873079691367293,0.8707800453514739,0.6822349256216299,0.8800763735172602,3919,1050,0.7874457769839245,ciciot2023,BruteForce,0.955812900581842,-0.0058129005818419,0.1949269564849006
0.50062894375,0.5067589,0.5154599790878324,0.7820014812499999,195662,194808,0.013155339309625758,ciciot2023,DDoS,0.9500033294205956,-3.3294205956657663e-06,0.014831035337832366
0.5024670812500001,0.52492731875,0.5071188223681473,0.665169225,72046,73207,0.017308386308747203,ciciot2023,DoS,0.949861224782922,0.000138775217078,0.004651741118147257
0.5031698380144377,0.4976656831112448,0.5003063598825038,0.5460636316013775,54156,53940,0.005170248910554731,ciciot2023,Mirai,0.950362697674883,-0.000362697674883,0.002863478131933883
0.50221774375,0.61086219375,0.5887884645676326,0.6689586875,65879,79770,0.09241184596001761,ciciot2023,Recon,0.9497292995008668,0.0002707004991331,0.08657072081763262
0.4955289653727733,0.6742153045939077,0.6433456978494305,0.6781893608527759,35934,32414,0.29086658874603444,ciciot2023,Spoofing,0.9528379475048356,-0.0028379475048357,0.14781673247665722
0.6401735324605522,0.8871155987253809,0.7101084097885695,0.840804260430321,10579,3738,0.7287078173740429,ciciot2023,Web,0.9519120427455816,-0.0019120427455815,0.06993487732801729
